"","open","high","low","close","volume","adjusted"
"2018-01-02",121,124.269997,120.559998,124.059998,1765300,123.515602
"2018-01-03",124.709999,125.400002,123.949997,124.919998,1328800,124.371819
"2018-01-04",125.290001,126.709999,123.410004,124.739998,1073200,124.192612
"2018-01-05",124.889999,126.209999,124.309998,125.980003,1063400,125.427177
"2018-01-08",125.660004,126.709999,125.099998,126.220001,1249500,125.666122
"2018-01-09",126.720001,127.019997,124.050003,124.190002,1999200,123.645035
"2018-01-10",124.120003,124.400002,120.769997,122.529999,1956700,121.99231
"2018-01-11",122.769997,123.139999,121.199997,122.290001,1304800,121.753365
"2018-01-12",122.82,123.040001,121.580002,122.099998,1014400,121.564201
"2018-01-16",122.32,123.050003,121.089996,121.68,1396500,121.146042
"2018-01-17",122.239998,122.830002,121.709999,122.489998,1167900,121.952484
"2018-01-18",122.419998,122.760002,121.550003,122.190002,1077700,121.653809
"2018-01-19",122.239998,124.690002,122.239998,123.480003,1804500,122.938148
"2018-01-22",123.5,126.269997,122.889999,126.199997,1364100,125.646202
"2018-01-23",125.650002,125.949997,124.029999,124.510002,1225200,123.963623
"2018-01-24",125.050003,125.82,124.269997,125.019997,1054100,124.471382
"2018-01-25",125.809998,125.809998,124.139999,124.739998,1038100,124.192612
"2018-01-26",124.760002,126.519997,124.029999,126.230003,1390900,125.676079
"2018-01-29",126.290001,129.339996,126.25,127.389999,2538000,126.830986
"2018-01-30",123.050003,129.149994,121.519997,125.940002,2883000,125.387344
"2018-01-31",126.629997,129.059998,125.169998,127.120003,1939200,126.562172
"2018-02-01",126.349998,128.720001,125.709999,128.190002,1756300,127.62748
"2018-02-02",127.050003,127.199997,125.610001,125.790001,1392700,125.238007
"2018-02-05",124.790001,127.419998,122.370003,123.18,2098800,122.639465
"2018-02-06",121,122.93,119.5,122.300003,2166000,121.763329
"2018-02-07",121.650002,123.519997,120.739998,120.779999,1145100,120.249992
"2018-02-08",120.5,120.639999,115.5,115.529999,1659200,115.023026
"2018-02-09",116.050003,117.410004,112.970001,116.389999,2145900,115.879257
"2018-02-12",116.959999,117.489998,115.050003,116.519997,1467600,116.008682
"2018-02-13",115.830002,116.18,114.870003,115.93,1081100,115.421272
"2018-02-14",115.230003,117.959999,115.230003,117.699997,760800,117.183502
"2018-02-15",118.150002,119.900002,117.800003,119.790001,1266100,119.264336
"2018-02-16",119.699997,121.660004,118.93,120.480003,696600,119.951317
"2018-02-20",119.800003,120.720001,118.5,118.720001,663700,118.199028
"2018-02-21",119.330002,120.699997,118.660004,118.68,988600,118.15921
"2018-02-22",119.25,120,117.339996,117.580002,888200,117.064041
"2018-02-23",118.379997,118.940002,117.620003,118.849998,633300,118.328453
"2018-02-26",118.900002,120.029999,118.400002,119.879997,638600,119.353943
"2018-02-27",119.919998,120.199997,118.120003,118.139999,854900,117.621574
