date,180_low,180_high,360_low,360_high
2017-07-11,0,0,1.140356386111111,1.206761452777778
2017-07-12,0,0,1.140318772222222,1.2066389055555558
2017-07-13,0,0,1.1402811583333332,1.2065163583333336
2017-07-16,0,0,1.1402435444444443,1.2063938111111114
2017-07-17,0,0,1.1402059305555554,1.2062712638888893
2017-07-18,0,0,1.1401683166666665,1.2061487166666671
2017-07-19,0,0,1.1401307027777776,1.206026169444445
2017-07-20,0,0,1.1400930888888887,1.2059036222222228
2017-07-23,0,0,1.1400554749999998,1.2057810750000006
2017-07-24,0,0,1.140017861111111,1.2056585277777785
2017-07-25,0,0,1.139980247222222,1.2055359805555563
2017-07-26,0,0,1.1399426333333331,1.2054134333333342
2017-07-27,0,0,1.1399050194444442,1.205290886111112
2017-07-30,0,0,1.1398674055555553,1.2051683388888899
2017-07-31,0,0,1.1398297916666664,1.2050457916666677
2017-08-01,0,0,1.1397921777777775,1.2049232444444455
2017-08-02,0,0,1.1397545638888886,1.2048006972222234
2017-08-03,0,0,1.1397169499999997,1.2046781500000012
2017-08-06,0,0,1.1396793361111108,1.204555602777779
2017-08-07,0,0,1.139641722222222,1.204433055555557
2017-08-08,0,0,1.139604108333333,1.2043105083333348
2017-08-09,0,0,1.1395664944444441,1.2041879611111126
2017-08-10,0,0,1.1395288805555552,1.2040654138888904
2017-08-13,0,0,1.1394912666666663,1.2039428666666683
2017-08-14,0,0,1.1394536527777774,1.2038203194444461
2017-08-15,0,0,1.1394160388888885,1.203697772222224
2017-08-16,0,0,1.1393784249999996,1.2035752250000018
2017-08-17,0,0,1.1393408111111107,1.2034526777777796
2017-08-20,0,0,1.1393031972222218,1.2033301305555575
2017-08-21,0,0,1.139265583333333,1.2032075833333353
2017-08-22,0,0,1.139227969444444,1.2030850361111132
2017-08-23,0,0,1.1391903555555551,1.202962488888891
2017-08-24,0,0,1.1391527416666662,1.2028399416666689
2017-08-27,0,0,1.1391151277777773,1.2027173944444467
2017-08-28,0,0,1.1390775138888884,1.2025948472222245
2017-08-29,0,0,1.1390398999999995,1.2024723000000024
2017-08-30,0,0,1.1390022861111107,1.2023497527777802
2017-08-31,0,0,1.1389646722222218,1.202227205555558
2017-09-03,0,0,1.1389270583333329,1.202104658333336
2017-09-04,0,0,1.138889444444444,1.2019821111111137
2017-09-05,0,0,1.138851830555555,1.2018595638888916
2017-09-06,0,0,1.1388142166666662,1.2017370166666694
2017-09-07,0,0,1.1387766027777773,1.2016144694444473
2017-09-10,0,0,1.1387389888888884,1.2014919222222251
2017-09-11,0,0,1.1387013749999995,1.201369375000003
2017-09-12,0,0,1.1386637611111106,1.2012468277777808
2017-09-13,0,0,1.1386261472222217,1.2011242805555586
2017-09-14,0,0,1.1385885333333328,1.2010017333333365
2017-09-17,0,0,1.1385509194444439,1.2008791861111143
2017-09-18,0,0,1.138513305555555,1.2007566388888922
2017-09-19,0,0,1.138475691666666,1.20063409166667
2017-09-20,0,0,1.1384380777777772,1.2005115444444479
2017-09-21,0,0,1.1384004638888883,1.2003889972222257
2017-09-24,0,0,1.1383628499999994,1.2002664500000035
2017-09-25,0,0,1.1383252361111105,1.2001439027777814
2017-09-26,0,0,1.1382876222222216,1.2000213555555592
2017-09-27,0,0,1.1382500083333327,1.199898808333337
2017-09-28,0,0,1.1382123944444438,1.199776261111115
