date,180_low,180_high,360_low,360_high
2017-07-11,0,0,139.434285125,152.8450234388889
2017-07-12,0,0,139.42257125,152.83604287777777
2017-07-13,0,0,139.410857375,152.82706231666666
2017-07-16,0,0,139.3991435,152.81808175555554
2017-07-17,0,0,139.387429625,152.80910119444442
2017-07-18,0,0,139.37571575,152.8001206333333
2017-07-19,0,0,139.364001875,152.7911400722222
2017-07-20,0,0,139.35228800000002,152.78215951111108
2017-07-23,0,0,139.34057412500002,152.77317894999996
2017-07-24,0,0,139.32886025000002,152.76419838888884
2017-07-25,0,0,139.31714637500002,152.75521782777773
2017-07-26,0,0,139.30543250000002,152.7462372666666
2017-07-27,0,0,139.29371862500003,152.7372567055555
2017-07-30,0,0,139.28200475000003,152.72827614444438
2017-07-31,0,0,139.27029087500003,152.71929558333326
2017-08-01,0,0,139.25857700000003,152.71031502222215
2017-08-02,0,0,139.24686312500003,152.70133446111103
2017-08-03,0,0,139.23514925000003,152.69235389999992
2017-08-06,0,0,139.22343537500004,152.6833733388888
2017-08-07,0,0,139.21172150000004,152.67439277777768
2017-08-08,0,0,139.20000762500004,152.66541221666657
2017-08-09,0,0,139.18829375000004,152.65643165555545
2017-08-10,0,0,139.17657987500004,152.64745109444434
2017-08-13,0,0,139.16486600000005,152.63847053333322
2017-08-14,0,0,139.15315212500005,152.6294899722221
2017-08-15,0,0,139.14143825000005,152.620509411111
2017-08-16,0,0,139.12972437500005,152.61152884999987
2017-08-17,0,0,139.11801050000005,152.60254828888876
2017-08-20,0,0,139.10629662500006,152.59356772777764
2017-08-21,0,0,139.09458275000006,152.58458716666652
2017-08-22,0,0,139.08286887500006,152.5756066055554
2017-08-23,0,0,139.07115500000006,152.5666260444443
2017-08-24,0,0,139.05944112500006,152.55764548333318
2017-08-27,0,0,139.04772725000007,152.54866492222206
2017-08-28,0,0,139.03601337500007,152.53968436111094
2017-08-29,0,0,139.02429950000007,152.53070379999983
2017-08-30,0,0,139.01258562500007,152.5217232388887
2017-08-31,0,0,139.00087175000007,152.5127426777776
