date,180_low,180_high,360_low,360_high
2017-07-11,0,0,1.741366527777778,1.8326228611111113
2017-07-12,0,0,1.7412630555555557,1.8324957222222225
2017-07-13,0,0,1.7411595833333335,1.8323685833333336
2017-07-16,0,0,1.7410561111111114,1.8322414444444448
2017-07-17,0,0,1.7409526388888892,1.832114305555556
2017-07-18,0,0,1.740849166666667,1.8319871666666672
2017-07-19,0,0,1.7407456944444448,1.8318600277777783
2017-07-20,0,0,1.7406422222222226,1.8317328888888895
2017-07-23,0,0,1.7405387500000005,1.8316057500000007
2017-07-24,0,0,1.7404352777777783,1.8314786111111119
2017-07-25,0,0,1.740331805555556,1.831351472222223
2017-07-26,0,0,1.740228333333334,1.8312243333333342
2017-07-27,0,0,1.7401248611111118,1.8310971944444454
2017-07-30,0,0,1.7400213888888896,1.8309700555555566
2017-07-31,0,0,1.7399179166666674,1.8308429166666678
2017-08-01,0,0,1.7398144444444452,1.830715777777779
2017-08-02,0,0,1.739710972222223,1.8305886388888901
2017-08-03,0,0,1.7396075000000009,1.8304615000000013
2017-08-06,0,0,1.7395040277777787,1.8303343611111125
2017-08-07,0,0,1.7394005555555565,1.8302072222222237
2017-08-08,0,0,1.7392970833333343,1.8300800833333348
2017-08-09,0,0,1.7391936111111121,1.829952944444446
2017-08-10,0,0,1.73909013888889,1.8298258055555572
2017-08-13,0,0,1.7389866666666678,1.8296986666666684
2017-08-14,0,0,1.7388831944444456,1.8295715277777795
2017-08-15,0,0,1.7387797222222234,1.8294443888888907
2017-08-16,0,0,1.7386762500000013,1.829317250000002
2017-08-17,0,0,1.738572777777779,1.829190111111113
2017-08-20,0,0,1.738469305555557,1.8290629722222242
2017-08-21,0,0,1.7383658333333347,1.8289358333333354
2017-08-22,0,0,1.7382623611111125,1.8288086944444466
2017-08-23,0,0,1.7381588888888904,1.8286815555555578
2017-08-24,0,0,1.7380554166666682,1.828554416666669
2017-08-27,0,0,1.737951944444446,1.8284272777777801
2017-08-28,0,0,1.7378484722222238,1.8283001388888913
2017-08-29,0,0,1.7377450000000016,1.8281730000000025
2017-08-30,0,0,1.7376415277777795,1.8280458611111137
2017-08-31,0,0,1.7375380555555573,1.8279187222222248
2017-09-03,0,0,1.7374345833333351,1.827791583333336
2017-09-04,0,0,1.737331111111113,1.8276644444444472
2017-09-05,0,0,1.7372276388888908,1.8275373055555584
2017-09-06,0,0,1.7371241666666686,1.8274101666666696
2017-09-07,0,0,1.7370206944444464,1.8272830277777807
2017-09-10,0,0,1.7369172222222242,1.827155888888892
2017-09-11,0,0,1.736813750000002,1.827028750000003
2017-09-12,0,0,1.7367102777777799,1.8269016111111143
2017-09-13,0,0,1.7366068055555577,1.8267744722222254
2017-09-14,0,0,1.7365033333333355,1.8266473333333366
2017-09-17,0,0,1.7363998611111133,1.8265201944444478
2017-09-18,0,0,1.7362963888888912,1.826393055555559
2017-09-19,0,0,1.736192916666669,1.8262659166666702
2017-09-20,0,0,1.7360894444444468,1.8261387777777813
2017-09-21,0,0,1.7359859722222246,1.8260116388888925
2017-09-24,0,0,1.7358825000000024,1.8258845000000037
2017-09-25,0,0,1.7357790277777803,1.8257573611111149
2017-09-26,0,0,1.735675555555558,1.825630222222226
2017-09-27,0,0,1.735572083333336,1.8255030833333372
2017-09-28,0,0,1.7354686111111137,1.8253759444444484
2017-10-01,0,0,1.7353651388888915,1.8252488055555596
2017-10-02,0,0,1.7352616666666694,1.8251216666666707
2017-10-03,0,0,1.7351581944444472,1.824994527777782
2017-10-04,0,0,1.735054722222225,1.824867388888893
2017-10-05,0,0,1.7349512500000028,1.8247402500000043
2017-10-08,0,0,1.7348477777777807,1.8246131111111155
2017-10-09,0,0,1.7347443055555585,1.8244859722222266
2017-10-10,0,0,1.7346408333333363,1.8243588333333378
2017-10-11,0,0,1.7345373611111141,1.824231694444449
2017-10-12,0,0,1.734433888888892,1.8241045555555602
2017-10-15,0,0,1.7343304166666698,1.8239774166666713
2017-10-16,0,0,1.7342269444444476,1.8238502777777825
2017-10-17,0,0,1.7341234722222254,1.8237231388888937
2017-10-18,0,0,1.7340200000000032,1.8235960000000049
2017-10-19,0,0,1.733916527777781,1.823468861111116
2017-10-22,0,0,1.7338130555555589,1.8233417222222272
2017-10-23,0,0,1.7337095833333367,1.8232145833333384
2017-10-24,0,0,1.7336061111111145,1.8230874444444496
2017-10-25,0,0,1.7335026388888923,1.8229603055555608
2017-10-26,0,0,1.7333991666666702,1.822833166666672
2017-10-30,0,0,1.733295694444448,1.8227060277777831
2017-10-31,0,0,1.7331922222222258,1.8225788888888943
2017-11-01,0,0,1.7330887500000036,1.8224517500000055
2017-11-02,0,0,1.7329852777777814,1.8223246111111167
2017-11-03,0,0,1.7328818055555593,1.8221974722222278
2017-11-06,0,0,1.732778333333337,1.822070333333339
2017-11-07,0,0,1.732674861111115,1.8219431944444502
2017-11-08,0,0,1.7325713888888927,1.8218160555555614
2017-11-09,0,0,1.7324679166666705,1.8216889166666725
2017-11-10,0,0,1.7323644444444484,1.8215617777777837
2017-11-13,0,0,1.7322609722222262,1.821434638888895
2017-11-15,0,0,1.732157500000004,1.821307500000006
2017-11-20,0,0,1.7320540277777818,1.8211803611111173
2017-11-21,0,0,1.7319505555555597,1.8210532222222284
2017-11-22,0,0,1.7318470833333375,1.8209260833333396
2017-11-23,0,0,1.7317436111111153,1.8207989444444508
2017-11-24,0,0,1.7316401388888931,1.820671805555562
2017-11-27,0,0,1.731536666666671,1.8205446666666731
2017-11-28,0,0,1.7314331944444488,1.8204175277777843
2017-11-29,0,0,1.7313297222222266,1.8202903888888955
2017-11-30,0,0,1.7312262500000044,1.8201632500000067
2017-12-01,0,0,1.7311227777777822,1.8200361111111178
2017-12-04,0,0,1.73101930555556,1.819908972222229
2017-12-05,0,0,1.7309158333333379,1.8197818333333402
2017-12-06,0,0,1.7308123611111157,1.8196546944444514
2017-12-07,0,0,1.7307088888888935,1.8195275555555626
2017-12-08,0,0,1.7306054166666713,1.8194004166666737
2017-12-11,0,0,1.7305019444444492,1.819273277777785
2017-12-12,0,0,1.730398472222227,1.819146138888896
2017-12-13,0,0,1.7302950000000048,1.8190190000000073
2017-12-14,0,0,1.7301915277777826,1.8188918611111184
2017-12-15,0,0,1.7300880555555604,1.8187647222222296
2017-12-18,0,0,1.7299845833333383,1.8186375833333408
2017-12-19,0,0,1.729881111111116,1.818510444444452
2017-12-20,0,0,1.729777638888894,1.8183833055555632
2017-12-21,0,0,1.7296741666666717,1.8182561666666743
2017-12-22,0,0,1.7295706944444496,1.8181290277777855
2017-12-25,0,0,1.7294672222222274,1.8180018888888967
2017-12-26,0,0,1.7293637500000052,1.8178747500000079
2017-12-27,0,0,1.729260277777783,1.817747611111119
2017-12-28,0,0,1.7291568055555608,1.8176204722222302
2017-12-29,0,0,1.7290533333333387,1.8174933333333414
2018-01-01,0,0,1.7289498611111165,1.8173661944444526
2018-01-02,0,0,1.7288463888888943,1.8172390555555638
2018-01-03,0,0,1.7287429166666721,1.817111916666675
2018-01-04,0,0,1.72863944444445,1.816984777777786
2018-01-05,0,0,1.7285359722222278,1.8168576388888973
2018-01-08,1.7999911666666668,1.8665438333333335,1.7284325000000056,1.8167305000000085
2018-01-09,1.7998723333333335,1.866477666666667,1.7283290277777834,1.8166033611111196
2018-01-10,1.7997535000000002,1.8664115000000003,1.7282255555555612,1.8164762222222308
2018-01-11,1.799634666666667,1.8663453333333337,1.728122083333339,1.816349083333342
2018-01-12,1.7995158333333336,1.8662791666666672,1.7280186111111169,1.8162219444444532
2018-01-15,1.7993970000000004,1.8662130000000006,1.7279151388888947,1.8160948055555644
2018-01-16,1.799278166666667,1.866146833333334,1.7278116666666725,1.8159676666666755
2018-01-17,1.7991593333333338,1.8660806666666674,1.7277081944444503,1.8158405277777867
2018-01-18,1.7990405000000005,1.8660145000000008,1.7276047222222282,1.8157133888888979
2018-01-19,1.7989216666666672,1.8659483333333342,1.727501250000006,1.815586250000009
2018-01-22,1.798802833333334,1.8658821666666676,1.7273977777777838,1.8154591111111202
2018-01-23,1.7986840000000006,1.865816000000001,1.7272943055555616,1.8153319722222314
2018-01-24,1.7985651666666673,1.8657498333333344,1.7271908333333394,1.8152048333333426
2018-01-25,1.798446333333334,1.8656836666666679,1.7270873611111173,1.8150776944444538
2018-01-26,1.7983275000000007,1.8656175000000013,1.726983888888895,1.814950555555565
2018-01-29,1.7982086666666675,1.8655513333333347,1.726880416666673,1.8148234166666761
