date,180_low,180_high,360_low,360_high
2017-07-11,0,0,9963.278445469443,10734.352416680555
2017-07-12,0,0,9961.656499938887,10734.00463836111
2017-07-13,0,0,9960.03455440833,10733.656860041665
2017-07-14,0,0,9958.412608877774,10733.30908172222
2017-07-17,0,0,9956.790663347218,10732.961303402775
2017-07-18,0,0,9955.168717816661,10732.61352508333
2017-07-19,0,0,9953.546772286105,10732.265746763886
2017-07-20,0,0,9951.924826755549,10731.91796844444
2017-07-21,0,0,9950.302881224992,10731.570190124996
2017-07-24,0,0,9948.680935694436,10731.222411805551
2017-07-25,0,0,9947.05899016388,10730.874633486106
2017-07-26,0,0,9945.437044633323,10730.526855166661
2017-07-27,0,0,9943.815099102767,10730.179076847216
2017-07-28,0,0,9942.19315357221,10729.831298527772
2017-07-31,0,0,9940.571208041654,10729.483520208327
2017-08-01,0,0,9938.949262511098,10729.135741888882
2017-08-02,0,0,9937.327316980542,10728.787963569437
2017-08-03,0,0,9935.705371449985,10728.440185249992
2017-08-04,0,0,9934.083425919429,10728.092406930547
2017-08-07,0,0,9932.461480388873,10727.744628611103
2017-08-08,0,0,9930.839534858316,10727.396850291658
2017-08-09,0,0,9929.21758932776,10727.049071972213
2017-08-10,0,0,9927.595643797204,10726.701293652768
2017-08-11,0,0,9925.973698266647,10726.353515333323
2017-08-14,0,0,9924.351752736091,10726.005737013878
2017-08-15,0,0,9922.729807205535,10725.657958694434
2017-08-16,0,0,9921.107861674978,10725.310180374989
2017-08-17,0,0,9919.485916144422,10724.962402055544
2017-08-18,0,0,9917.863970613866,10724.614623736099
2017-08-21,0,0,9916.24202508331,10724.266845416654
2017-08-22,0,0,9914.620079552753,10723.91906709721
2017-08-23,0,0,9912.998134022197,10723.571288777764
2017-08-24,0,0,9911.37618849164,10723.22351045832
2017-08-25,0,0,9909.754242961084,10722.875732138875
2017-08-28,0,0,9908.132297430528,10722.52795381943
2017-08-29,0,0,9906.510351899971,10722.180175499985
2017-08-30,0,0,9904.888406369415,10721.83239718054
2017-08-31,0,0,9903.266460838859,10721.484618861095
2017-09-01,0,0,9901.644515308302,10721.13684054165
2017-09-04,0,0,9900.022569777746,10720.789062222206
2017-09-05,0,0,9898.40062424719,10720.441283902761
2017-09-06,0,0,9896.778678716633,10720.093505583316
2017-09-07,0,0,9895.156733186077,10719.745727263871
2017-09-08,0,0,9893.53478765552,10719.397948944426
2017-09-11,0,0,9891.912842124964,10719.050170624982
2017-09-12,0,0,9890.290896594408,10718.702392305537
2017-09-13,0,0,9888.668951063852,10718.354613986092
2017-09-14,0,0,9887.047005533295,10718.006835666647
2017-09-15,0,0,9885.425060002739,10717.659057347202
2017-09-18,0,0,9883.803114472183,10717.311279027757
2017-09-19,0,0,9882.181168941626,10716.963500708312
2017-09-20,0,0,9880.55922341107,10716.615722388868
2017-09-21,0,0,9878.937277880514,10716.267944069423
2017-09-22,0,0,9877.315332349957,10715.920165749978
2017-09-25,0,0,9875.693386819401,10715.572387430533
2017-09-26,0,0,9874.071441288845,10715.224609111088
2017-09-27,0,0,9872.449495758288,10714.876830791643
2017-09-28,0,0,9870.827550227732,10714.529052472199
2017-09-29,0,0,9869.205604697176,10714.181274152754
2017-10-02,0,0,9867.58365916662,10713.833495833309
2017-10-03,0,0,9865.961713636063,10713.485717513864
2017-10-04,0,0,9864.339768105507,10713.13793919442
2017-10-05,0,0,9862.71782257495,10712.790160874974
2017-10-06,0,0,9861.095877044394,10712.44238255553
2017-10-09,0,0,9859.473931513838,10712.094604236085
2017-10-10,0,0,9857.851985983281,10711.74682591664
2017-10-11,0,0,9856.230040452725,10711.399047597195
2017-10-12,0,0,9854.608094922169,10711.05126927775
2017-10-13,0,0,9852.986149391612,10710.703490958305
2017-10-16,0,0,9851.364203861056,10710.35571263886
2017-10-17,0,0,9849.7422583305,10710.007934319416
2017-10-18,0,0,9848.120312799943,10709.66015599997
2017-10-19,0,0,9846.498367269387,10709.312377680526
2017-10-20,0,0,9844.87642173883,10708.964599361081
2017-10-23,0,0,9843.254476208274,10708.616821041636
2017-10-24,0,0,9841.632530677718,10708.269042722191
2017-10-25,0,0,9840.010585147162,10707.921264402747
2017-10-26,0,0,9838.388639616605,10707.573486083302
2017-10-27,0,0,9836.766694086049,10707.225707763857
2017-10-30,0,0,9835.144748555493,10706.877929444412
2017-10-31,0,0,9833.522803024936,10706.530151124967
2017-11-01,0,0,9831.90085749438,10706.182372805522
2017-11-02,0,0,9830.278911963824,10705.834594486078
2017-11-03,0,0,9828.656966433267,10705.486816166633
2017-11-06,0,0,9827.035020902711,10705.139037847188
2017-11-07,0,0,9825.413075372155,10704.791259527743
2017-11-08,0,0,9823.791129841598,10704.443481208298
2017-11-09,0,0,9822.169184311042,10704.095702888853
2017-11-10,0,0,9820.547238780486,10703.747924569408
2017-11-13,0,0,9818.92529324993,10703.400146249964
2017-11-14,0,0,9817.303347719373,10703.052367930519
2017-11-15,0,0,9815.681402188817,10702.704589611074
2017-11-16,0,0,9814.05945665826,10702.35681129163
2017-11-17,0,0,9812.437511127704,10702.009032972184
2017-11-20,0,0,9810.815565597148,10701.66125465274
2017-11-21,0,0,9809.193620066591,10701.313476333295
2017-11-22,0,0,9807.571674536035,10700.96569801385
2017-11-23,0,0,9805.949729005479,10700.617919694405
2017-11-24,0,0,9804.327783474922,10700.27014137496
2017-11-27,0,0,9802.705837944366,10699.922363055515
2017-11-28,0,0,9801.08389241381,10699.57458473607
2017-11-29,0,0,9799.461946883253,10699.226806416626
2017-11-30,0,0,9797.840001352697,10698.87902809718
2017-12-01,0,0,9796.21805582214,10698.531249777736
2017-12-04,0,0,9794.596110291584,10698.183471458291
2017-12-05,0,0,9792.974164761028,10697.835693138846
2017-12-06,0,0,9791.352219230472,10697.487914819401
2017-12-07,0,0,9789.730273699915,10697.140136499956
2017-12-08,0,0,9788.108328169359,10696.792358180512
2017-12-11,0,0,9786.486382638803,10696.444579861067
2017-12-12,0,0,9784.864437108246,10696.096801541622
2017-12-13,0,0,9783.24249157769,10695.749023222177
2017-12-14,0,0,9781.620546047134,10695.401244902732
2017-12-15,0,0,9779.998600516577,10695.053466583287
2017-12-18,0,0,9778.376654986021,10694.705688263843
2017-12-19,0,0,9776.754709455465,10694.357909944398
2017-12-20,0,0,9775.132763924908,10694.010131624953
2017-12-21,0,0,9773.510818394352,10693.662353305508
2017-12-22,0,0,9771.888872863796,10693.314574986063
2017-12-27,0,0,9770.26692733324,10692.966796666618
2017-12-28,0,0,9768.644981802683,10692.619018347174
2017-12-29,0,0,9767.023036272127,10692.271240027729
2018-01-02,0,0,9765.40109074157,10691.923461708284
2018-01-03,0,0,9763.779145211014,10691.575683388839
2018-01-04,0,0,9762.157199680458,10691.227905069394
2018-01-05,0,0,9760.535254149901,10690.88012674995
2018-01-08,9380.530555555555,10607.621668838889,9758.913308619345,10690.532348430504
2018-01-09,9380.06111111111,10605.743337677777,9757.291363088789,10690.18457011106
2018-01-10,9379.591666666665,10603.865006516666,9755.669417558232,10689.836791791615
2018-01-11,9379.12222222222,10601.986675355554,9754.047472027676,10689.48901347217
2018-01-12,9378.652777777776,10600.108344194443,9752.42552649712,10689.141235152725
2018-01-15,9378.18333333333,10598.230013033331,9750.803580966563,10688.79345683328
2018-01-16,9377.713888888886,10596.35168187222,9749.181635436007,10688.445678513835
2018-01-17,9377.24444444444,10594.473350711109,9747.55968990545,10688.09790019439
2018-01-18,9376.774999999996,10592.595019549997,9745.937744374894,10687.750121874946
2018-01-19,9376.305555555551,10590.716688388886,9744.315798844338,10687.402343555501
2018-01-22,9375.836111111106,10588.838357227774,9742.693853313782,10687.054565236056
2018-01-23,9375.366666666661,10586.960026066663,9741.071907783225,10686.706786916611
2018-01-24,9374.897222222216,10585.081694905552,9739.44996225267,10686.359008597166
2018-01-25,9374.427777777772,10583.20336374444,9737.828016722113,10686.011230277722
2018-01-26,9373.958333333327,10581.325032583329,9736.206071191556,10685.663451958277
2018-01-29,9373.488888888882,10579.446701422217,9734.584125661,10685.315673638832
2018-01-30,9373.019444444437,10577.568370261106,9732.962180130444,10684.967895319387
2018-01-31,9372.549999999992,10575.690039099994,9731.340234599887,10684.620116999942
2018-02-01,9372.080555555547,10573.811707938883,9729.718289069331,10684.272338680497
2018-02-02,9371.611111111102,10571.933376777772,9728.096343538775,10683.924560361052
2018-02-05,9371.141666666657,10570.05504561666,9726.474398008218,10683.576782041608
2018-02-06,9370.672222222212,10568.176714455549,9724.852452477662,10683.229003722163
2018-02-07,9370.202777777768,10566.298383294437,9723.230506947106,10682.881225402718
2018-02-08,9369.733333333323,10564.420052133326,9721.60856141655,10682.533447083273
2018-02-09,9369.263888888878,10562.541720972215,9719.986615885993,10682.185668763828
2018-02-12,9368.794444444433,10560.663389811103,9718.364670355437,10681.837890444383
2018-02-13,9368.324999999988,10558.785058649992,9716.74272482488,10681.490112124939
2018-02-14,9367.855555555543,10556.90672748888,9715.120779294324,10681.142333805494
2018-02-15,9367.386111111098,10555.028396327769,9713.498833763768,10680.794555486049
2018-02-16,9366.916666666653,10553.150065166657,9711.876888233212,10680.446777166604
2018-02-19,9366.447222222208,10551.271734005546,9710.254942702655,10680.09899884716
2018-02-20,9365.977777777764,10549.393402844435,9708.632997172099,10679.751220527714
2018-02-21,9365.508333333319,10547.515071683323,9707.011051641543,10679.40344220827
2018-02-22,9365.038888888874,10545.636740522212,9705.389106110986,10679.055663888825
2018-02-23,9364.569444444429,10543.7584093611,9703.76716058043,10678.70788556938
2018-02-26,9364.099999999984,10541.880078199989,9702.145215049874,10678.360107249935
2018-02-27,9363.63055555554,10540.001747038878,9700.523269519317,10678.01232893049
2018-02-28,9363.161111111094,10538.123415877766,9698.90132398876,10677.664550611045
2018-03-01,9362.69166666665,10536.245084716655,9697.279378458205,10677.3167722916
2018-03-02,9362.222222222204,10534.366753555543,9695.657432927648,10676.968993972156
2018-03-05,9361.75277777776,10532.488422394432,9694.035487397092,10676.62121565271
2018-03-06,9361.283333333315,10530.61009123332,9692.413541866536,10676.273437333266
2018-03-07,9360.81388888887,10528.731760072209,9690.79159633598,10675.925659013821
2018-03-08,9360.344444444425,10526.853428911098,9689.169650805423,10675.577880694376
2018-03-09,9359.87499999998,10524.975097749986,9687.547705274867,10675.230102374931
2018-03-12,9359.405555555535,10523.096766588875,9685.92575974431,10674.882324055487
