date,180_low,180_high,360_low,360_high
2017-07-11,0,0,7214.5922227638885,7723.7743622083335
2017-07-12,0,0,7213.684445527777,7723.348529416667
2017-07-13,0,0,7212.776668291665,7722.922696625
2017-07-14,0,0,7211.868891055554,7722.496863833333
2017-07-17,0,0,7210.961113819442,7722.071031041666
2017-07-18,0,0,7210.053336583331,7721.645198249999
2017-07-19,0,0,7209.145559347219,7721.2193654583325
2017-07-20,0,0,7208.237782111108,7720.793532666666
2017-07-21,0,0,7207.330004874996,7720.367699874999
2017-07-24,0,0,7206.422227638885,7719.941867083332
2017-07-25,0,0,7205.514450402773,7719.516034291665
2017-07-26,0,0,7204.6066731666615,7719.090201499998
2017-07-27,0,0,7203.69889593055,7718.6643687083315
2017-07-28,0,0,7202.791118694438,7718.238535916665
2017-07-31,0,0,7201.883341458327,7717.812703124998
2017-08-01,0,0,7200.975564222215,7717.386870333331
2017-08-02,0,0,7200.067786986104,7716.961037541664
2017-08-03,0,0,7199.160009749992,7716.535204749997
2017-08-04,0,0,7198.252232513881,7716.1093719583305
2017-08-07,0,0,7197.344455277769,7715.683539166664
2017-08-08,0,0,7196.436678041658,7715.257706374997
2017-08-09,0,0,7195.528900805546,7714.83187358333
2017-08-10,0,0,7194.6211235694345,7714.406040791663
2017-08-11,0,0,7193.713346333323,7713.980207999996
2017-08-14,0,0,7192.805569097211,7713.5543752083295
2017-08-15,0,0,7191.8977918611,7713.128542416663
2017-08-16,0,0,7190.990014624988,7712.702709624996
2017-08-17,0,0,7190.082237388877,7712.276876833329
2017-08-18,0,0,7189.174460152765,7711.851044041662
2017-08-21,0,0,7188.266682916654,7711.425211249995
2017-08-22,0,0,7187.358905680542,7710.9993784583285
2017-08-23,0,0,7186.451128444431,7710.573545666662
2017-08-24,0,0,7185.543351208319,7710.147712874995
2017-08-25,0,0,7184.635573972208,7709.721880083328
2017-08-29,0,0,7183.727796736096,7709.296047291661
2017-08-30,0,0,7182.8200194999845,7708.870214499994
2017-08-31,0,0,7181.912242263873,7708.4443817083275
2017-09-01,0,0,7181.004465027761,7708.018548916661
2017-09-04,0,0,7180.09668779165,7707.592716124994
2017-09-05,0,0,7179.188910555538,7707.166883333327
2017-09-06,0,0,7178.281133319427,7706.74105054166
2017-09-07,0,0,7177.373356083315,7706.315217749993
2017-09-08,0,0,7176.465578847204,7705.889384958326
2017-09-11,0,0,7175.557801611092,7705.46355216666
2017-09-12,0,0,7174.650024374981,7705.037719374993
2017-09-13,0,0,7173.742247138869,7704.611886583326
2017-09-14,0,0,7172.8344699027575,7704.186053791659
2017-09-15,0,0,7171.926692666646,7703.760220999992
2017-09-18,0,0,7171.018915430534,7703.334388208325
2017-09-19,0,0,7170.111138194423,7702.908555416659
2017-09-20,0,0,7169.203360958311,7702.482722624992
2017-09-21,0,0,7168.2955837222,7702.056889833325
2017-09-22,0,0,7167.387806486088,7701.631057041658
2017-09-25,0,0,7166.480029249977,7701.205224249991
2017-09-26,0,0,7165.572252013865,7700.779391458324
2017-09-27,0,0,7164.664474777754,7700.353558666658
2017-09-28,0,0,7163.756697541642,7699.927725874991
2017-09-29,0,0,7162.848920305531,7699.501893083324
2017-10-02,0,0,7161.941143069419,7699.076060291657
2017-10-03,0,0,7161.0333658333075,7698.65022749999
2017-10-04,0,0,7160.125588597196,7698.224394708323
2017-10-05,0,0,7159.217811361084,7697.798561916657
2017-10-06,0,0,7158.310034124973,7697.37272912499
2017-10-09,0,0,7157.402256888861,7696.946896333323
2017-10-10,0,0,7156.49447965275,7696.521063541656
2017-10-11,0,0,7155.586702416638,7696.095230749989
2017-10-12,0,0,7154.678925180527,7695.669397958322
2017-10-13,0,0,7153.771147944415,7695.243565166656
2017-10-16,0,0,7152.863370708304,7694.817732374989
2017-10-17,0,0,7151.955593472192,7694.391899583322
2017-10-18,0,0,7151.0478162360805,7693.966066791655
2017-10-19,0,0,7150.140038999969,7693.540233999988
2017-10-20,0,0,7149.232261763857,7693.114401208321
2017-10-23,0,0,7148.324484527746,7692.688568416655
2017-10-24,0,0,7147.416707291634,7692.262735624988
2017-10-25,0,0,7146.508930055523,7691.836902833321
2017-10-26,0,0,7145.601152819411,7691.411070041654
2017-10-27,0,0,7144.6933755833,7690.985237249987
2017-10-30,0,0,7143.785598347188,7690.55940445832
2017-10-31,0,0,7142.877821111077,7690.133571666654
2017-11-01,0,0,7141.970043874965,7689.707738874987
2017-11-02,0,0,7141.0622666388535,7689.28190608332
2017-11-03,0,0,7140.154489402742,7688.856073291653
2017-11-06,0,0,7139.2467121666305,7688.430240499986
2017-11-07,0,0,7138.338934930519,7688.004407708319
2017-11-08,0,0,7137.431157694407,7687.5785749166525
2017-11-09,0,0,7136.523380458296,7687.152742124986
2017-11-10,0,0,7135.615603222184,7686.726909333319
2017-11-13,0,0,7134.707825986073,7686.301076541652
2017-11-14,0,0,7133.800048749961,7685.875243749985
2017-11-15,0,0,7132.89227151385,7685.449410958318
2017-11-16,0,0,7131.984494277738,7685.0235781666515
2017-11-17,0,0,7131.076717041627,7684.597745374985
2017-11-20,0,0,7130.168939805515,7684.171912583318
2017-11-21,0,0,7129.2611625694035,7683.746079791651
2017-11-22,0,0,7128.353385333292,7683.320246999984
2017-11-23,0,0,7127.44560809718,7682.894414208317
2017-11-24,0,0,7126.537830861069,7682.4685814166505
2017-11-27,0,0,7125.630053624957,7682.042748624984
2017-11-28,0,0,7124.722276388846,7681.616915833317
2017-11-29,0,0,7123.814499152734,7681.19108304165
2017-11-30,0,0,7122.906721916623,7680.765250249983
2017-12-01,0,0,7121.998944680511,7680.339417458316
2017-12-04,0,0,7121.0911674444,7679.9135846666495
2017-12-05,0,0,7120.183390208288,7679.487751874983
2017-12-06,0,0,7119.2756129721765,7679.061919083316
2017-12-07,0,0,7118.367835736065,7678.636086291649
2017-12-08,0,0,7117.460058499953,7678.210253499982
2017-12-11,0,0,7116.552281263842,7677.784420708315
2017-12-12,0,0,7115.64450402773,7677.3585879166485
2017-12-13,0,0,7114.736726791619,7676.932755124982
2017-12-14,0,0,7113.828949555507,7676.506922333315
2017-12-15,0,0,7112.921172319396,7676.081089541648
2017-12-18,0,0,7112.013395083284,7675.655256749981
2017-12-19,0,0,7111.105617847173,7675.229423958314
2017-12-20,0,0,7110.197840611061,7674.8035911666475
2017-12-21,0,0,7109.29006337495,7674.377758374981
2017-12-22,0,0,7108.382286138838,7673.951925583314
2017-12-27,0,0,7107.4745089027265,7673.526092791647
2017-12-28,0,0,7106.566731666615,7673.10025999998
2017-12-29,0,0,7105.658954430503,7672.674427208313
2018-01-02,0,0,7104.751177194392,7672.2485944166465
2018-01-03,0,0,7103.84339995828,7671.82276162498
2018-01-04,0,0,7102.935622722169,7671.396928833313
2018-01-05,0,0,7102.027845486057,7670.971096041646
