date,180_low,180_high,360_low,360_high
2017-07-11,0,0,56.30886110277778,76.47369243611111
2017-07-12,0,0,56.27772220555556,76.45738687222222
2017-07-13,0,0,56.24658330833334,76.44108130833332
2017-07-14,0,0,56.21544441111112,76.42477574444443
2017-07-17,0,0,56.1843055138889,76.40847018055554
2017-07-18,0,0,56.15316661666668,76.39216461666665
2017-07-19,0,0,56.12202771944446,76.37585905277776
2017-07-20,0,0,56.09088882222224,76.35955348888886
2017-07-21,0,0,56.05974992500002,76.34324792499997
2017-07-24,0,0,56.0286110277778,76.32694236111108
2017-07-25,0,0,55.99747213055558,76.31063679722219
2017-07-26,0,0,55.96633323333336,76.2943312333333
2017-07-27,0,0,55.93519433611114,76.2780256694444
2017-07-28,0,0,55.90405543888892,76.26172010555551
2017-07-31,0,0,55.8729165416667,76.24541454166662
2017-08-01,0,0,55.84177764444448,76.22910897777773
2017-08-02,0,0,55.81063874722226,76.21280341388884
2017-08-03,0,0,55.779499850000036,76.19649784999994
2017-08-04,0,0,55.748360952777816,76.18019228611105
2017-08-07,0,0,55.717222055555595,76.16388672222216
2017-08-08,0,0,55.686083158333375,76.14758115833327
2017-08-09,0,0,55.654944261111154,76.13127559444438
2017-08-10,0,0,55.623805363888934,76.11497003055548
2017-08-11,0,0,55.592666466666714,76.09866446666659
2017-08-14,0,0,55.56152756944449,76.0823589027777
2017-08-15,0,0,55.53038867222227,76.0660533388888
2017-08-16,0,0,55.49924977500005,76.04974777499991
2017-08-17,0,0,55.46811087777783,76.03344221111102
2017-08-18,0,0,55.43697198055561,76.01713664722213
2017-08-21,0,0,55.40583308333339,76.00083108333324
2017-08-22,0,0,55.37469418611117,75.98452551944435
2017-08-23,0,0,55.34355528888895,75.96821995555545
2017-08-24,0,0,55.31241639166673,75.95191439166656
2017-08-25,0,0,55.28127749444451,75.93560882777767
2017-08-28,0,0,55.25013859722229,75.91930326388878
2017-08-29,0,0,55.21899970000007,75.90299769999989
2017-08-30,0,0,55.18786080277785,75.886692136111
2017-08-31,0,0,55.15672190555563,75.8703865722221
2017-09-01,0,0,55.12558300833341,75.85408100833321
2017-09-05,0,0,55.09444411111119,75.83777544444432
2017-09-06,0,0,55.06330521388897,75.82146988055543
2017-09-07,0,0,55.032166316666746,75.80516431666653
2017-09-08,0,0,55.001027419444526,75.78885875277764
2017-09-11,0,0,54.969888522222305,75.77255318888875
2017-09-12,0,0,54.938749625000085,75.75624762499986
2017-09-13,0,0,54.907610727777865,75.73994206111097
2017-09-14,0,0,54.876471830555644,75.72363649722207
2017-09-15,0,0,54.845332933333424,75.70733093333318
2017-09-18,0,0,54.8141940361112,75.69102536944429
2017-09-19,0,0,54.78305513888898,75.6747198055554
2017-09-20,0,0,54.75191624166676,75.6584142416665
2017-09-21,0,0,54.72077734444454,75.64210867777761
2017-09-22,0,0,54.68963844722232,75.62580311388872
2017-09-25,0,0,54.6584995500001,75.60949754999983
2017-09-26,0,0,54.62736065277788,75.59319198611094
2017-09-27,0,0,54.59622175555566,75.57688642222205
2017-09-28,0,0,54.56508285833344,75.56058085833315
2017-09-29,0,0,54.53394396111122,75.54427529444426
2017-10-02,0,0,54.502805063889,75.52796973055537
2017-10-03,0,0,54.47166616666678,75.51166416666648
2017-10-04,0,0,54.44052726944456,75.49535860277759
2017-10-05,0,0,54.40938837222234,75.4790530388887
2017-10-06,0,0,54.37824947500012,75.4627474749998
2017-10-09,0,0,54.3471105777779,75.44644191111091
2017-10-10,0,0,54.31597168055568,75.43013634722202
2017-10-11,0,0,54.28483278333346,75.41383078333313
2017-10-12,0,0,54.253693886111236,75.39752521944423
2017-10-13,0,0,54.222554988889016,75.38121965555534
2017-10-16,0,0,54.191416091666795,75.36491409166645
2017-10-17,0,0,54.160277194444575,75.34860852777756
2017-10-18,0,0,54.129138297222354,75.33230296388867
2017-10-19,0,0,54.097999400000134,75.31599739999977
2017-10-20,0,0,54.066860502777914,75.29969183611088
2017-10-23,0,0,54.03572160555569,75.28338627222199
2017-10-24,0,0,54.00458270833347,75.2670807083331
2017-10-25,0,0,53.97344381111125,75.2507751444442
2017-10-26,0,0,53.94230491388903,75.23446958055531
2017-10-27,0,0,53.91116601666681,75.21816401666642
2017-10-30,0,0,53.88002711944459,75.20185845277753
2017-10-31,0,0,53.84888822222237,75.18555288888864
2017-11-01,0,0,53.81774932500015,75.16924732499974
2017-11-02,0,0,53.78661042777793,75.15294176111085
2017-11-03,0,0,53.75547153055571,75.13663619722196
2017-11-06,0,0,53.72433263333349,75.12033063333307
2017-11-07,0,0,53.69319373611127,75.10402506944418
2017-11-08,0,0,53.66205483888905,75.08771950555528
2017-11-09,0,0,53.63091594166683,75.07141394166639
2017-11-10,0,0,53.59977704444461,75.0551083777775
2017-11-13,0,0,53.56863814722239,75.03880281388861
2017-11-14,0,0,53.53749925000017,75.02249724999972
2017-11-15,0,0,53.506360352777946,75.00619168611082
2017-11-16,0,0,53.475221455555726,74.98988612222193
2017-11-17,0,0,53.444082558333506,74.97358055833304
2017-11-20,0,0,53.412943661111285,74.95727499444415
2017-11-21,0,0,53.381804763889065,74.94096943055526
2017-11-22,0,0,53.350665866666844,74.92466386666636
2017-11-24,0,0,53.319526969444624,74.90835830277747
2017-11-27,0,0,53.2883880722224,74.89205273888858
2017-11-28,0,0,53.25724917500018,74.87574717499969
2017-11-29,0,0,53.22611027777796,74.8594416111108
2017-11-30,0,0,53.19497138055574,74.8431360472219
2017-12-01,0,0,53.16383248333352,74.82683048333301
2017-12-04,0,0,53.1326935861113,74.81052491944412
2017-12-05,0,0,53.10155468888908,74.79421935555523
2017-12-06,0,0,53.07041579166686,74.77791379166634
2017-12-07,0,0,53.03927689444464,74.76160822777744
2017-12-08,0,0,53.00813799722242,74.74530266388855
2017-12-11,0,0,52.9769991000002,74.72899709999966
