date,180_low,180_high,360_low,360_high
2017-07-11,0,0,145.71386614166667,176.37122022777777
2017-07-12,0,0,145.68772728333334,176.32244245555555
2017-07-13,0,0,145.66158842500002,176.27366468333332
2017-07-14,0,0,145.6354495666667,176.2248869111111
2017-07-17,0,0,145.60931070833337,176.17610913888888
2017-07-18,0,0,145.58317185000004,176.12733136666665
2017-07-19,0,0,145.55703299166672,176.07855359444443
2017-07-20,0,0,145.5308941333334,176.0297758222222
2017-07-21,0,0,145.50475527500006,175.98099804999998
2017-07-24,0,0,145.47861641666674,175.93222027777776
2017-07-25,0,0,145.4524775583334,175.88344250555554
2017-07-26,0,0,145.4263387000001,175.8346647333333
2017-07-27,0,0,145.40019984166676,175.7858869611111
2017-07-28,0,0,145.37406098333344,175.73710918888887
2017-07-31,0,0,145.3479221250001,175.68833141666664
2017-08-01,0,0,145.32178326666678,175.63955364444442
2017-08-02,0,0,145.29564440833346,175.5907758722222
2017-08-03,0,0,145.26950555000013,175.54199809999997
2017-08-04,0,0,145.2433666916668,175.49322032777775
2017-08-07,0,0,145.21722783333348,175.44444255555553
2017-08-08,0,0,145.19108897500016,175.3956647833333
2017-08-09,0,0,145.16495011666683,175.34688701111108
2017-08-10,0,0,145.1388112583335,175.29810923888886
2017-08-11,0,0,145.11267240000018,175.24933146666663
2017-08-14,0,0,145.08653354166685,175.2005536944444
2017-08-15,0,0,145.06039468333353,175.15177592222219
2017-08-16,0,0,145.0342558250002,175.10299814999996
2017-08-17,0,0,145.00811696666688,175.05422037777774
2017-08-18,0,0,144.98197810833355,175.00544260555552
2017-08-21,0,0,144.95583925000022,174.9566648333333
2017-08-22,0,0,144.9297003916669,174.90788706111107
2017-08-23,0,0,144.90356153333357,174.85910928888885
2017-08-24,0,0,144.87742267500025,174.81033151666662
2017-08-25,0,0,144.85128381666692,174.7615537444444
2017-08-28,0,0,144.8251449583336,174.71277597222218
2017-08-29,0,0,144.79900610000027,174.66399819999995
2017-08-30,0,0,144.77286724166694,174.61522042777773
2017-08-31,0,0,144.74672838333362,174.5664426555555
2017-09-01,0,0,144.7205895250003,174.51766488333328
2017-09-05,0,0,144.69445066666697,174.46888711111106
2017-09-06,0,0,144.66831180833364,174.42010933888884
2017-09-07,0,0,144.64217295000032,174.3713315666666
2017-09-08,0,0,144.616034091667,174.3225537944444
2017-09-11,0,0,144.58989523333366,174.27377602222217
2017-09-12,0,0,144.56375637500034,174.22499824999994
2017-09-13,0,0,144.537617516667,174.17622047777772
2017-09-14,0,0,144.5114786583337,174.1274427055555
2017-09-15,0,0,144.48533980000036,174.07866493333327
2017-09-18,0,0,144.45920094166704,174.02988716111105
2017-09-19,0,0,144.4330620833337,173.98110938888883
2017-09-20,0,0,144.40692322500038,173.9323316166666
2017-09-21,0,0,144.38078436666706,173.88355384444438
2017-09-22,0,0,144.35464550833373,173.83477607222216
2017-09-25,0,0,144.3285066500004,173.78599829999993
2017-09-26,0,0,144.30236779166708,173.7372205277777
2017-09-27,0,0,144.27622893333375,173.68844275555549
2017-09-28,0,0,144.25009007500043,173.63966498333326
2017-09-29,0,0,144.2239512166671,173.59088721111104
2017-10-02,0,0,144.19781235833378,173.54210943888882
2017-10-03,0,0,144.17167350000045,173.4933316666666
2017-10-04,0,0,144.14553464166713,173.44455389444437
2017-10-05,0,0,144.1193957833338,173.39577612222214
2017-10-06,0,0,144.09325692500047,173.34699834999992
2017-10-09,0,0,144.06711806666715,173.2982205777777
2017-10-10,0,0,144.04097920833382,173.24944280555547
2017-10-11,0,0,144.0148403500005,173.20066503333325
2017-10-12,0,0,143.98870149166717,173.15188726111103
2017-10-13,0,0,143.96256263333385,173.1031094888888
2017-10-16,0,0,143.93642377500052,173.05433171666658
2017-10-17,0,0,143.9102849166672,173.00555394444436
2017-10-18,0,0,143.88414605833387,172.95677617222213
2017-10-19,0,0,143.85800720000054,172.9079983999999
2017-10-20,0,0,143.83186834166722,172.8592206277777
2017-10-23,0,0,143.8057294833339,172.81044285555546
2017-10-24,0,0,143.77959062500057,172.76166508333324
2017-10-25,0,0,143.75345176666724,172.71288731111102
2017-10-26,0,0,143.72731290833391,172.6641095388888
2017-10-27,0,0,143.7011740500006,172.61533176666657
2017-10-30,0,0,143.67503519166726,172.56655399444435
2017-10-31,0,0,143.64889633333394,172.51777622222212
2017-11-01,0,0,143.6227574750006,172.4689984499999
2017-11-02,0,0,143.59661861666729,172.42022067777768
2017-11-03,0,0,143.57047975833396,172.37144290555545
2017-11-06,0,0,143.54434090000063,172.32266513333323
2017-11-07,0,0,143.5182020416673,172.273887361111
2017-11-08,0,0,143.49206318333398,172.22510958888878
2017-11-09,0,0,143.46592432500066,172.17633181666656
2017-11-10,0,0,143.43978546666733,172.12755404444434
2017-11-13,0,0,143.413646608334,172.07877627222211
2017-11-14,0,0,143.38750775000068,172.0299984999999
2017-11-15,0,0,143.36136889166735,171.98122072777767
2017-11-16,0,0,143.33523003333403,171.93244295555544
2017-11-17,0,0,143.3090911750007,171.88366518333322
2017-11-20,0,0,143.28295231666738,171.834887411111
2017-11-21,0,0,143.25681345833405,171.78610963888877
2017-11-22,0,0,143.23067460000073,171.73733186666655
2017-11-24,0,0,143.2045357416674,171.68855409444433
2017-11-27,0,0,143.17839688333407,171.6397763222221
2017-11-28,0,0,143.15225802500075,171.59099854999988
2017-11-29,0,0,143.12611916666742,171.54222077777766
2017-11-30,0,0,143.0999803083341,171.49344300555543
2017-12-01,0,0,143.07384145000077,171.4446652333332
2017-12-04,0,0,143.04770259166744,171.395887461111
2017-12-05,0,0,143.02156373333412,171.34710968888876
2017-12-06,0,0,142.9954248750008,171.29833191666654
2017-12-07,0,0,142.96928601666747,171.24955414444432
2017-12-08,0,0,142.94314715833414,171.2007763722221
2017-12-11,0,0,142.91700830000082,171.15199859999987
2017-12-12,0,0,142.8908694416675,171.10322082777765
2017-12-13,0,0,142.86473058333416,171.05444305555542
2017-12-14,0,0,142.83859172500084,171.0056652833332
2017-12-15,0,0,142.8124528666675,170.95688751111098
2017-12-18,0,0,142.7863140083342,170.90810973888875
2017-12-19,0,0,142.76017515000086,170.85933196666653
2017-12-20,0,0,142.73403629166754,170.8105541944443
2017-12-21,0,0,142.7078974333342,170.76177642222208
2017-12-22,0,0,142.68175857500088,170.71299864999986
2017-12-26,0,0,142.65561971666756,170.66422087777764
2017-12-27,0,0,142.62948085833423,170.6154431055554
2017-12-28,0,0,142.6033420000009,170.5666653333332
2017-12-29,0,0,142.57720314166758,170.51788756111097
2018-01-02,0,0,142.55106428333426,170.46910978888874
2018-01-03,0,0,142.52492542500093,170.42033201666652
2018-01-04,0,0,142.4987865666676,170.3715542444443
2018-01-05,0,0,142.47264770833428,170.32277647222207
2018-01-08,155.11016059444444,181.65188991666668,142.44650885000095,170.27399869999985
2018-01-09,155.07032718888888,181.58377883333335,142.42036999166763,170.22522092777763
2018-01-10,155.03049378333333,181.51566775000003,142.3942311333343,170.1764431555554
2018-01-11,154.99066037777777,181.4475566666667,142.36809227500098,170.12766538333318
2018-01-12,154.95082697222222,181.3794455833334,142.34195341666765,170.07888761111096
2018-01-16,154.91099356666666,181.31133450000007,142.31581455833432,170.03010983888873
2018-01-17,154.8711601611111,181.24322341666675,142.289675700001,169.9813320666665
2018-01-18,154.83132675555555,181.17511233333343,142.26353684166767,169.9325542944443
2018-01-19,154.79149335,181.1070012500001,142.23739798333435,169.88377652222206
2018-01-22,154.75165994444444,181.0388901666668,142.21125912500102,169.83499874999984
2018-01-23,154.7118265388889,180.97077908333347,142.1851202666677,169.78622097777762
2018-01-24,154.67199313333333,180.90266800000015,142.15898140833437,169.7374432055554
2018-01-25,154.63215972777778,180.83455691666683,142.13284255000104,169.68866543333317
2018-01-26,154.59232632222222,180.7664458333335,142.10670369166772,169.63988766111095
2018-01-29,154.55249291666667,180.69833475000019,142.0805648333344,169.59110988888872
2018-01-30,154.5126595111111,180.63022366666686,142.05442597500107,169.5423321166665
2018-01-31,154.47282610555555,180.56211258333354,142.02828711666774,169.49355434444428
2018-02-01,154.4329927,180.49400150000022,142.00214825833442,169.44477657222205
2018-02-02,154.39315929444444,180.4258904166669,141.9760094000011,169.39599879999983
2018-02-05,154.3533258888889,180.35777933333358,141.94987054166776,169.3472210277776
2018-02-06,154.31349248333333,180.28966825000026,141.92373168333444,169.29844325555538
2018-02-07,154.27365907777778,180.22155716666694,141.8975928250011,169.24966548333316
2018-02-08,154.23382567222222,180.15344608333362,141.8714539666678,169.20088771111094
2018-02-09,154.19399226666667,180.0853350000003,141.84531510833446,169.1521099388887
2018-02-12,154.1541588611111,180.01722391666698,141.81917625000114,169.1033321666665
2018-02-13,154.11432545555556,179.94911283333366,141.7930373916678,169.05455439444427
2018-02-14,154.07449205,179.88100175000034,141.76689853333448,169.00577662222204
2018-02-15,154.03465864444445,179.81289066666702,141.74075967500116,168.95699884999982
2018-02-16,153.9948252388889,179.7447795833337,141.71462081666783,168.9082210777776
2018-02-20,153.95499183333334,179.67666850000037,141.6884819583345,168.85944330555537
2018-02-21,153.91515842777778,179.60855741666705,141.66234310000118,168.81066553333315
2018-02-22,153.87532502222223,179.54044633333373,141.63620424166785,168.76188776111093
2018-02-23,153.83549161666667,179.4723352500004,141.61006538333453,168.7131099888887
2018-02-26,153.79565821111112,179.4042241666671,141.5839265250012,168.66433221666648
2018-02-27,153.75582480555556,179.33611308333377,141.55778766666788,168.61555444444426
2018-02-28,153.7159914,179.26800200000045,141.53164880833455,168.56677667222203
