date,180_low,180_high,360_low,360_high
2017-07-11,0,0,103.79719745833334,130.20939391666667
2017-07-12,0,0,103.79439191666668,130.17878283333334
2017-07-13,0,0,103.79158637500002,130.14817175000002
2017-07-14,0,0,103.78878083333336,130.1175606666667
2017-07-17,0,0,103.7859752916667,130.08694958333336
2017-07-18,0,0,103.78316975000004,130.05633850000004
2017-07-19,0,0,103.78036420833338,130.0257274166667
2017-07-20,0,0,103.77755866666672,129.99511633333339
2017-07-21,0,0,103.77475312500006,129.96450525000006
2017-07-24,0,0,103.7719475833334,129.93389416666673
2017-07-25,0,0,103.76914204166674,129.9032830833334
2017-07-26,0,0,103.76633650000008,129.87267200000008
2017-07-27,0,0,103.76353095833342,129.84206091666675
2017-07-28,0,0,103.76072541666676,129.81144983333343
2017-07-31,0,0,103.7579198750001,129.7808387500001
2017-08-01,0,0,103.75511433333344,129.75022766666677
2017-08-02,0,0,103.75230879166678,129.71961658333345
2017-08-03,0,0,103.74950325000012,129.68900550000012
2017-08-04,0,0,103.74669770833346,129.6583944166668
2017-08-07,0,0,103.7438921666668,129.62778333333347
2017-08-08,0,0,103.74108662500014,129.59717225000014
2017-08-09,0,0,103.73828108333348,129.56656116666682
2017-08-10,0,0,103.73547554166682,129.5359500833335
2017-08-11,0,0,103.73267000000016,129.50533900000016
2017-08-14,0,0,103.7298644583335,129.47472791666684
2017-08-15,0,0,103.72705891666683,129.4441168333335
2017-08-16,0,0,103.72425337500017,129.41350575000018
2017-08-17,0,0,103.72144783333351,129.38289466666686
2017-08-18,0,0,103.71864229166685,129.35228358333353
2017-08-21,0,0,103.7158367500002,129.3216725000002
2017-08-22,0,0,103.71303120833353,129.29106141666688
2017-08-23,0,0,103.71022566666687,129.26045033333355
2017-08-24,0,0,103.70742012500021,129.22983925000023
2017-08-25,0,0,103.70461458333355,129.1992281666669
2017-08-28,0,0,103.70180904166689,129.16861708333357
2017-08-29,0,0,103.69900350000023,129.13800600000025
2017-08-30,0,0,103.69619795833357,129.10739491666692
2017-08-31,0,0,103.69339241666691,129.0767838333336
2017-09-01,0,0,103.69058687500025,129.04617275000027
2017-09-05,0,0,103.68778133333359,129.01556166666694
2017-09-06,0,0,103.68497579166693,128.9849505833336
2017-09-07,0,0,103.68217025000027,128.9543395000003
2017-09-08,0,0,103.67936470833361,128.92372841666696
2017-09-11,0,0,103.67655916666695,128.89311733333363
2017-09-12,0,0,103.67375362500029,128.8625062500003
2017-09-13,0,0,103.67094808333363,128.83189516666698
2017-09-14,0,0,103.66814254166697,128.80128408333366
2017-09-15,0,0,103.6653370000003,128.77067300000033
2017-09-18,0,0,103.66253145833365,128.740061916667
2017-09-19,0,0,103.65972591666699,128.70945083333368
2017-09-20,0,0,103.65692037500033,128.67883975000035
2017-09-21,0,0,103.65411483333367,128.64822866666702
2017-09-22,0,0,103.651309291667,128.6176175833337
2017-09-25,0,0,103.64850375000034,128.58700650000037
2017-09-26,0,0,103.64569820833368,128.55639541666704
2017-09-27,0,0,103.64289266666702,128.52578433333372
2017-09-28,0,0,103.64008712500036,128.4951732500004
2017-09-29,0,0,103.6372815833337,128.46456216666706
2017-10-02,0,0,103.63447604166704,128.43395108333374
2017-10-03,0,0,103.63167050000038,128.4033400000004
2017-10-04,0,0,103.62886495833372,128.37272891666709
2017-10-05,0,0,103.62605941666706,128.34211783333376
2017-10-06,0,0,103.6232538750004,128.31150675000043
2017-10-09,0,0,103.62044833333374,128.2808956666671
2017-10-10,0,0,103.61764279166708,128.25028458333378
2017-10-11,0,0,103.61483725000042,128.21967350000045
2017-10-12,0,0,103.61203170833376,128.18906241666713
2017-10-13,0,0,103.6092261666671,128.1584513333338
2017-10-16,0,0,103.60642062500044,128.12784025000047
2017-10-17,0,0,103.60361508333378,128.09722916666715
2017-10-18,0,0,103.60080954166712,128.06661808333382
2017-10-19,0,0,103.59800400000046,128.0360070000005
2017-10-20,0,0,103.5951984583338,128.00539591666717
2017-10-23,0,0,103.59239291666714,127.97478483333384
2017-10-24,0,0,103.58958737500048,127.94417375000052
2017-10-25,0,0,103.58678183333382,127.91356266666719
2017-10-26,0,0,103.58397629166716,127.88295158333386
2017-10-27,0,0,103.5811707500005,127.85234050000054
2017-10-30,0,0,103.57836520833384,127.82172941666721
2017-10-31,0,0,103.57555966666717,127.79111833333388
2017-11-01,0,0,103.57275412500051,127.76050725000056
2017-11-02,0,0,103.56994858333385,127.72989616666723
2017-11-03,0,0,103.5671430416672,127.6992850833339
2017-11-06,0,0,103.56433750000053,127.66867400000058
2017-11-07,0,0,103.56153195833387,127.63806291666725
2017-11-08,0,0,103.55872641666721,127.60745183333393
2017-11-09,0,0,103.55592087500055,127.5768407500006
2017-11-10,0,0,103.55311533333389,127.54622966666727
2017-11-13,0,0,103.55030979166723,127.51561858333395
2017-11-14,0,0,103.54750425000057,127.48500750000062
2017-11-15,0,0,103.54469870833391,127.4543964166673
2017-11-16,0,0,103.54189316666725,127.42378533333397
2017-11-17,0,0,103.53908762500059,127.39317425000064
2017-11-20,0,0,103.53628208333393,127.36256316666731
2017-11-21,0,0,103.53347654166727,127.33195208333399
