date,180_low,180_high,360_low,360_high
2017-07-11,0,0,47.49608333333333,67.01777476944444
2017-07-12,0,0,47.49216666666666,67.01555253888888
2017-07-13,0,0,47.488249999999994,67.01333030833332
2017-07-14,0,0,47.484333333333325,67.01110807777776
2017-07-17,0,0,47.480416666666656,67.0088858472222
2017-07-18,0,0,47.47649999999999,67.00666361666664
2017-07-19,0,0,47.47258333333332,67.00444138611108
2017-07-20,0,0,47.46866666666665,67.00221915555552
2017-07-21,0,0,47.46474999999998,66.99999692499996
2017-07-24,0,0,47.46083333333331,66.9977746944444
2017-07-25,0,0,47.45691666666664,66.99555246388884
2017-07-26,0,0,47.452999999999975,66.99333023333328
2017-07-27,0,0,47.449083333333306,66.99110800277772
2017-07-28,0,0,47.44516666666664,66.98888577222216
2017-07-31,0,0,47.44124999999997,66.9866635416666
2017-08-01,0,0,47.4373333333333,66.98444131111104
2017-08-02,0,0,47.43341666666663,66.98221908055548
2017-08-03,0,0,47.42949999999996,66.97999684999992
2017-08-04,0,0,47.42558333333329,66.97777461944436
2017-08-07,0,0,47.421666666666624,66.9755523888888
2017-08-08,0,0,47.417749999999955,66.97333015833324
2017-08-09,0,0,47.41383333333329,66.97110792777768
2017-08-10,0,0,47.40991666666662,66.96888569722212
2017-08-11,0,0,47.40599999999995,66.96666346666656
2017-08-14,0,0,47.40208333333328,66.964441236111
2017-08-15,0,0,47.39816666666661,66.96221900555544
2017-08-16,0,0,47.39424999999994,66.95999677499988
2017-08-17,0,0,47.390333333333274,66.95777454444432
2017-08-18,0,0,47.386416666666605,66.95555231388876
2017-08-21,0,0,47.382499999999936,66.9533300833332
2017-08-22,0,0,47.37858333333327,66.95110785277764
2017-08-23,0,0,47.3746666666666,66.94888562222208
2017-08-24,0,0,47.37074999999993,66.94666339166652
2017-08-25,0,0,47.36683333333326,66.94444116111096
2017-08-28,0,0,47.36291666666659,66.9422189305554
2017-08-29,0,0,47.358999999999924,66.93999669999984
2017-08-30,0,0,47.355083333333255,66.93777446944428
2017-08-31,0,0,47.351166666666586,66.93555223888872
2017-09-01,0,0,47.34724999999992,66.93333000833316
2017-09-05,0,0,47.34333333333325,66.9311077777776
2017-09-06,0,0,47.33941666666658,66.92888554722204
2017-09-07,0,0,47.33549999999991,66.92666331666648
2017-09-08,0,0,47.33158333333324,66.92444108611092
2017-09-11,0,0,47.32766666666657,66.92221885555536
2017-09-12,0,0,47.323749999999905,66.9199966249998
2017-09-13,0,0,47.319833333333236,66.91777439444424
2017-09-14,0,0,47.31591666666657,66.91555216388868
