date,180_low,180_high,360_low,360_high
2017-07-11,0,0,36.47233333611111,48.23016666944444
2017-07-12,0,0,36.444666672222226,48.21033333888889
2017-07-13,0,0,36.41700000833334,48.19050000833333
2017-07-14,0,0,36.38933334444445,48.170666677777774
2017-07-17,0,0,36.361666680555565,48.15083334722222
2017-07-18,0,0,36.33400001666668,48.13100001666666
2017-07-19,0,0,36.30633335277779,48.111166686111105
2017-07-20,0,0,36.278666688888904,48.09133335555555
2017-07-21,0,0,36.25100002500002,48.07150002499999
2017-07-24,0,0,36.22333336111113,48.051666694444435
2017-07-25,0,0,36.195666697222244,48.03183336388888
2017-07-26,0,0,36.16800003333336,48.01200003333332
2017-07-27,0,0,36.14033336944447,47.992166702777766
2017-07-28,0,0,36.11266670555558,47.97233337222221
2017-07-31,0,0,36.085000041666696,47.95250004166665
2017-08-01,0,0,36.05733337777781,47.932666711111096
2017-08-02,0,0,36.02966671388892,47.91283338055554
2017-08-03,0,0,36.002000050000035,47.89300004999998
2017-08-04,0,0,35.97433338611115,47.87316671944443
2017-08-07,0,0,35.94666672222226,47.85333338888887
2017-08-08,0,0,35.919000058333374,47.833500058333314
2017-08-09,0,0,35.89133339444449,47.81366672777776
2017-08-10,0,0,35.8636667305556,47.7938333972222
2017-08-11,0,0,35.83600006666671,47.774000066666645
2017-08-14,0,0,35.808333402777826,47.75416673611109
2017-08-15,0,0,35.78066673888894,47.73433340555553
2017-08-16,0,0,35.75300007500005,47.714500074999975
2017-08-17,0,0,35.725333411111166,47.69466674444442
2017-08-18,0,0,35.69766674722228,47.67483341388886
2017-08-21,0,0,35.67000008333339,47.655000083333306
2017-08-22,0,0,35.642333419444505,47.63516675277775
2017-08-23,0,0,35.61466675555562,47.61533342222219
2017-08-24,0,0,35.58700009166673,47.595500091666636
2017-08-25,0,0,35.559333427777844,47.57566676111108
2017-08-28,0,0,35.53166676388896,47.55583343055552
2017-08-29,0,0,35.50400010000007,47.53600009999997
2017-08-30,0,0,35.47633343611118,47.51616676944441
2017-08-31,0,0,35.448666772222296,47.496333438888854
2017-09-01,0,0,35.42100010833341,47.4765001083333
2017-09-05,0,0,35.39333344444452,47.45666677777774
2017-09-06,0,0,35.365666780555635,47.436833447222185
2017-09-07,0,0,35.33800011666675,47.41700011666663
2017-09-08,0,0,35.31033345277786,47.39716678611107
2017-09-11,0,0,35.282666788888974,47.377333455555515
2017-09-12,0,0,35.25500012500009,47.35750012499996
2017-09-13,0,0,35.2273334611112,47.3376667944444
2017-09-14,0,0,35.199666797222314,47.317833463888846
2017-09-15,0,0,35.17200013333343,47.29800013333329
2017-09-18,0,0,35.14433346944454,47.27816680277773
2017-09-19,0,0,35.11666680555565,47.258333472222176
2017-09-20,0,0,35.089000141666766,47.23850014166662
