date,180_low,180_high,360_low,360_high
2018-01-02,0,0,10440.966443916666,10503.062025594445
2018-01-03,0,0,10439.732692833333,10501.32424618889
2018-01-04,0,0,10438.49894175,10499.586466783334
2018-01-05,9996.196750533334,11128.879834355555,10437.265190666667,10497.848687377778
2018-01-08,9994.343696066668,11127.359277711112,10436.031439583334,10496.110907972223
2018-01-09,9992.490641600001,11125.838721066668,10434.7976885,10494.373128566667
2018-01-10,9990.637587133335,11124.318164422224,10433.563937416668,10492.635349161112
2018-01-11,9988.784532666668,11122.79760777778,10432.330186333334,10490.897569755556
2018-01-12,9986.931478200002,11121.277051133336,10431.096435250001,10489.15979035
2018-01-15,9985.078423733336,11119.756494488893,10429.862684166668,10487.422010944445
2018-01-16,9983.225369266669,11118.235937844449,10428.628933083335,10485.68423153889
2018-01-17,9981.372314800003,11116.715381200005,10427.395182000002,10483.946452133334
2018-01-18,9979.519260333336,11115.194824555561,10426.161430916669,10482.208672727778
2018-01-19,9977.66620586667,11113.674267911118,10424.927679833336,10480.470893322223
2018-01-22,9975.813151400003,11112.153711266674,10423.693928750003,10478.733113916667
2018-01-23,9973.960096933337,11110.63315462223,10422.46017766667,10476.995334511112
2018-01-24,9972.10704246667,11109.112597977786,10421.226426583336,10475.257555105556
2018-01-25,9970.253988000004,11107.592041333342,10419.992675500003,10473.5197757
2018-01-29,9968.400933533338,11106.071484688899,10418.75892441667,10471.781996294445
2018-01-30,9966.547879066671,11104.550928044455,10417.525173333337,10470.04421688889
2018-01-31,9964.694824600005,11103.030371400011,10416.291422250004,10468.306437483334
2018-02-01,9962.841770133338,11101.509814755567,10415.05767116667,10466.568658077778
2018-02-02,9960.988715666672,11099.989258111123,10413.823920083338,10464.830878672223
2018-02-05,9959.135661200005,11098.46870146668,10412.590169000005,10463.093099266667
2018-02-06,9957.282606733339,11096.948144822236,10411.356417916671,10461.355319861112
2018-02-07,9955.429552266673,11095.427588177792,10410.122666833338,10459.617540455556
2018-02-08,9953.576497800006,11093.907031533348,10408.888915750005,10457.87976105
2018-02-09,9951.72344333334,11092.386474888905,10407.655164666672,10456.141981644445
2018-02-12,9949.870388866673,11090.86591824446,10406.421413583339,10454.40420223889
2018-02-14,9948.017334400007,11089.345361600017,10405.187662500006,10452.666422833334
2018-02-15,9946.16427993334,11087.824804955573,10403.953911416673,10450.928643427778
2018-02-16,9944.311225466674,11086.30424831113,10402.72016033334,10449.190864022223
2018-02-19,9942.458171000007,11084.783691666686,10401.486409250007,10447.453084616667
2018-02-20,9940.605116533341,11083.263135022242,10400.252658166673,10445.715305211112
2018-02-21,9938.752062066675,11081.742578377798,10399.01890708334,10443.977525805556
2018-02-22,9936.899007600008,11080.222021733354,10397.785156000007,10442.2397464
2018-02-23,9935.045953133342,11078.70146508891,10396.551404916674,10440.501966994445
2018-02-26,9933.192898666675,11077.180908444467,10395.317653833341,10438.76418758889
2018-02-27,9931.339844200009,11075.660351800023,10394.083902750008,10437.026408183334
2018-02-28,9929.486789733342,11074.13979515558,10392.850151666675,10435.288628777778
2018-03-01,9927.633735266676,11072.619238511135,10391.616400583342,10433.550849372223
2018-03-05,9925.78068080001,11071.098681866692,10390.382649500008,10431.813069966667
2018-03-06,9923.927626333343,11069.578125222248,10389.148898416675,10430.075290561112
2018-03-07,9922.074571866677,11068.057568577804,10387.915147333342,10428.337511155556
2018-03-08,9920.22151740001,11066.53701193336,10386.68139625001,10426.59973175
2018-03-09,9918.368462933344,11065.016455288916,10385.447645166676,10424.861952344445
2018-03-12,9916.515408466677,11063.495898644473,10384.213894083343,10423.12417293889
2018-03-13,9914.662354000011,11061.975342000029,10382.98014300001,10421.386393533334
2018-03-14,9912.809299533345,11060.454785355585,10381.746391916677,10419.648614127778
2018-03-15,9910.956245066678,11058.934228711141,10380.512640833344,10417.910834722223
2018-03-16,9909.103190600012,11057.413672066697,10379.27888975001,10416.173055316667
2018-03-19,9907.250136133345,11055.893115422254,10378.045138666677,10414.435275911112
2018-03-20,9905.397081666679,11054.37255877781,10376.811387583344,10412.697496505556
2018-03-21,9903.544027200012,11052.852002133366,10375.577636500011,10410.9597171
2018-03-22,9901.690972733346,11051.331445488922,10374.343885416678,10409.221937694445
2018-03-23,9899.83791826668,11049.810888844479,10373.110134333345,10407.48415828889
2018-03-26,9897.984863800013,11048.290332200035,10371.876383250012,10405.746378883334
2018-03-27,9896.131809333347,11046.769775555591,10370.642632166679,10404.008599477778
2018-03-28,9894.27875486668,11045.249218911147,10369.408881083345,10402.270820072223
