date,180_low,180_high,360_low,360_high
2018-01-02,0,0,153.82196825000003,154.52169743888888
2018-01-03,0,0,153.80394050000004,154.49339187777775
2018-01-04,147.3498393388889,164.7386716388889,153.78591275000005,154.46508631666663
2018-01-05,147.3496726777778,164.73733827777778,153.76788500000006,154.4367807555555
2018-01-08,147.34950601666668,164.73600491666667,153.74985725000008,154.40847519444438
2018-01-09,147.34933935555557,164.73467155555556,153.7318295000001,154.38016963333325
2018-01-10,147.34917269444446,164.73333819444446,153.7138017500001,154.35186407222213
2018-01-11,147.34900603333335,164.73200483333335,153.6957740000001,154.323558511111
2018-01-12,147.34883937222224,164.73067147222224,153.67774625000013,154.29525294999988
2018-01-16,147.34867271111113,164.72933811111113,153.65971850000014,154.26694738888875
2018-01-17,147.34850605000003,164.72800475000003,153.64169075000015,154.23864182777763
2018-01-18,147.34833938888892,164.72667138888892,153.62366300000016,154.2103362666665
2018-01-19,147.3481727277778,164.7253380277778,153.60563525000018,154.18203070555538
2018-01-22,147.3480060666667,164.7240046666667,153.5876075000002,154.15372514444425
2018-01-23,147.3478394055556,164.7226713055556,153.5695797500002,154.12541958333313
2018-01-24,147.34767274444448,164.72133794444449,153.5515520000002,154.097114022222
2018-01-25,147.34750608333337,164.72000458333338,153.53352425000023,154.06880846111088
2018-01-26,147.34733942222226,164.71867122222227,153.51549650000024,154.04050289999975
2018-01-29,147.34717276111115,164.71733786111116,153.49746875000025,154.01219733888863
2018-01-30,147.34700610000004,164.71600450000005,153.47944100000026,153.9838917777775
2018-01-31,147.34683943888894,164.71467113888895,153.46141325000028,153.95558621666638
2018-02-01,147.34667277777783,164.71333777777784,153.4433855000003,153.92728065555525
2018-02-02,147.34650611666672,164.71200441666673,153.4253577500003,153.89897509444413
2018-02-05,147.3463394555556,164.71067105555562,153.40733000000031,153.870669533333
2018-02-06,147.3461727944445,164.7093376944445,153.38930225000033,153.84236397222188
2018-02-07,147.3460061333334,164.7080043333334,153.37127450000034,153.81405841111075
2018-02-08,147.34583947222228,164.7066709722223,153.35324675000035,153.78575284999962
2018-02-09,147.34567281111117,164.7053376111112,153.33521900000036,153.7574472888885
2018-02-12,147.34550615000006,164.70400425000008,153.31719125000038,153.72914172777737
2018-02-13,147.34533948888895,164.70267088888897,153.2991635000004,153.70083616666625
2018-02-14,147.34517282777784,164.70133752777787,153.2811357500004,153.67253060555512
2018-02-15,147.34500616666674,164.70000416666676,153.26310800000041,153.644225044444
2018-02-16,147.34483950555563,164.69867080555565,153.24508025000043,153.61591948333287
2018-02-20,147.34467284444452,164.69733744444454,153.22705250000044,153.58761392222175
2018-02-21,147.3445061833334,164.69600408333343,153.20902475000045,153.55930836111062
2018-02-22,147.3443395222223,164.69467072222233,153.19099700000046,153.5310027999995
2018-02-23,147.3441728611112,164.69333736111122,153.17296925000048,153.50269723888837
2018-02-26,147.34400620000008,164.6920040000001,153.1549415000005,153.47439167777725
2018-02-27,147.34383953888897,164.690670638889,153.1369137500005,153.44608611666612
2018-02-28,147.34367287777786,164.6893372777779,153.11888600000051,153.417780555555
2018-03-01,147.34350621666675,164.6880039166668,153.10085825000053,153.38947499444387
2018-03-02,147.34333955555564,164.68667055555568,153.08283050000054,153.36116943333275
2018-03-05,147.34317289444454,164.68533719444457,153.06480275000055,153.33286387222162
2018-03-06,147.34300623333343,164.68400383333346,153.04677500000057,153.3045583111105
2018-03-07,147.34283957222232,164.68267047222236,153.02874725000058,153.27625274999937
2018-03-08,147.3426729111112,164.68133711111125,153.0107195000006,153.24794718888825
2018-03-09,147.3425062500001,164.68000375000014,152.9926917500006,153.21964162777712
2018-03-12,147.342339588889,164.67867038888903,152.97466400000062,153.191336066666
2018-03-13,147.34217292777788,164.67733702777792,152.95663625000063,153.16303050555487
2018-03-14,147.34200626666677,164.67600366666682,152.93860850000064,153.13472494444375
2018-03-15,147.34183960555566,164.6746703055557,152.92058075000065,153.10641938333262
2018-03-16,147.34167294444455,164.6733369444446,152.90255300000067,153.0781138222215
2018-03-19,147.34150628333344,164.6720035833335,152.88452525000068,153.04980826111037
