date,180_low,180_high,360_low,360_high
2018-01-12,7.497333333333333,11.076277777777777,0,0
2018-01-16,7.484666666666666,11.062555555555555,0,0
2018-01-17,7.471999999999999,11.048833333333333,0,0
2018-01-18,7.459333333333332,11.03511111111111,0,0
2018-01-19,7.4466666666666645,11.021388888888888,0,0
2018-01-22,7.4339999999999975,11.007666666666665,0,0
2018-01-23,7.4213333333333305,10.993944444444443,0,0
2018-01-24,7.408666666666663,10.98022222222222,0,0
2018-01-25,7.395999999999996,10.966499999999998,0,0
2018-01-26,7.383333333333329,10.952777777777776,0,0
2018-01-29,7.370666666666662,10.939055555555553,0,0
2018-01-30,7.357999999999995,10.925333333333331,0,0
2018-01-31,7.345333333333328,10.911611111111108,0,0
2018-02-01,7.332666666666661,10.897888888888886,0,0
2018-02-02,7.319999999999994,10.884166666666664,0,0
2018-02-05,7.307333333333327,10.870444444444441,0,0
2018-02-06,7.29466666666666,10.856722222222219,0,0
2018-02-07,7.281999999999993,10.842999999999996,0,0
2018-02-08,7.269333333333326,10.829277777777774,0,0
2018-02-09,7.256666666666659,10.815555555555552,0,0
2018-02-12,7.243999999999992,10.80183333333333,0,0
2018-02-13,7.231333333333325,10.788111111111107,0,0
2018-02-14,7.218666666666658,10.774388888888884,0,0
2018-02-15,7.205999999999991,10.760666666666662,0,0
2018-02-16,7.193333333333324,10.74694444444444,0,0
2018-02-20,7.1806666666666565,10.733222222222217,0,0
2018-02-21,7.1679999999999895,10.719499999999995,0,0
2018-02-22,7.155333333333322,10.705777777777772,0,0
2018-02-23,7.142666666666655,10.69205555555555,0,0
2018-02-26,7.129999999999988,10.678333333333327,0,0
2018-02-27,7.117333333333321,10.664611111111105,0,0
2018-02-28,7.104666666666654,10.650888888888883,0,0
2018-03-01,7.091999999999987,10.63716666666666,0,0
2018-03-02,7.07933333333332,10.623444444444438,0,0
2018-03-05,7.066666666666653,10.609722222222215,0,0
2018-03-06,7.053999999999986,10.595999999999993,0,0
2018-03-07,7.041333333333319,10.58227777777777,0,0
2018-03-08,7.028666666666652,10.568555555555548,0,0
2018-03-09,7.015999999999985,10.554833333333326,0,0
2018-03-12,7.003333333333318,10.541111111111103,0,0
2018-03-13,6.990666666666651,10.527388888888881,0,0
2018-03-14,6.977999999999984,10.513666666666659,0,0
2018-03-15,6.965333333333317,10.499944444444436,0,0
2018-03-16,6.95266666666665,10.486222222222214,0,0
2018-03-19,6.939999999999983,10.472499999999991,0,0
2018-03-20,6.927333333333316,10.458777777777769,0,0
2018-03-21,6.9146666666666485,10.445055555555546,0,0
2018-03-22,6.9019999999999815,10.431333333333324,0,0
2018-03-23,6.889333333333314,10.417611111111102,0,0
2018-03-26,6.876666666666647,10.40388888888888,0,0
2018-03-27,6.86399999999998,10.390166666666657,0,0
2018-03-28,6.851333333333313,10.376444444444434,0,0
2018-03-29,6.838666666666646,10.362722222222212,0,0
2018-04-02,6.825999999999979,10.34899999999999,0,0
2018-04-03,6.813333333333312,10.335277777777767,0,0
2018-04-04,6.800666666666645,10.321555555555545,0,0
2018-04-05,6.787999999999978,10.307833333333322,0,0
2018-04-06,6.775333333333311,10.2941111111111,0,0
2018-04-09,6.762666666666644,10.280388888888877,0,0
2018-04-10,6.749999999999977,10.266666666666655,0,0
2018-04-11,6.73733333333331,10.252944444444433,0,0
2018-04-12,6.724666666666643,10.23922222222221,0,0
2018-04-13,6.711999999999976,10.225499999999988,0,0
2018-04-16,6.699333333333309,10.211777777777765,0,0
2018-04-17,6.686666666666642,10.198055555555543,0,0
2018-04-18,6.673999999999975,10.18433333333332,0,0
2018-04-19,6.661333333333308,10.170611111111098,0,0
2018-04-20,6.6486666666666405,10.156888888888876,0,0
2018-04-23,6.6359999999999735,10.143166666666653,0,0
2018-04-24,6.623333333333306,10.129444444444431,0,0
2018-04-25,6.610666666666639,10.115722222222209,0,0
2018-04-26,6.597999999999972,10.101999999999986,0,0
2018-04-27,6.585333333333305,10.088277777777764,0,0
2018-04-30,6.572666666666638,10.074555555555541,0,0
2018-05-01,6.559999999999971,10.060833333333319,0,0
2018-05-02,6.547333333333304,10.047111111111096,0,0
2018-05-03,6.534666666666637,10.033388888888874,0,0
2018-05-04,6.52199999999997,10.019666666666652,0,0
2018-05-07,6.509333333333303,10.00594444444443,0,0
2018-05-08,6.496666666666636,9.992222222222207,0,0
2018-05-09,6.483999999999969,9.978499999999984,0,0
2018-05-10,6.471333333333302,9.964777777777762,0,0
2018-05-11,6.458666666666635,9.95105555555554,0,0
2018-05-14,6.445999999999968,9.937333333333317,0,0
2018-05-15,6.433333333333301,9.923611111111095,0,0
2018-05-16,6.420666666666634,9.909888888888872,0,0
2018-05-17,6.407999999999967,9.89616666666665,0,0
2018-05-18,6.3953333333333,9.882444444444427,0,0
2018-05-21,6.3826666666666325,9.868722222222205,0,0
2018-05-22,6.3699999999999655,9.854999999999983,0,0
2018-05-23,6.357333333333298,9.84127777777776,0,0
2018-05-24,6.344666666666631,9.827555555555538,0,0
2018-05-25,6.331999999999964,9.813833333333315,0,0
2018-05-29,6.319333333333297,9.800111111111093,0,0
2018-05-30,6.30666666666663,9.78638888888887,0,0
2018-05-31,6.293999999999963,9.772666666666648,0,0
2018-06-01,6.281333333333296,9.758944444444426,0,0
2018-06-04,6.268666666666629,9.745222222222203,0,0
2018-06-05,6.255999999999962,9.731499999999981,0,0
2018-06-06,6.243333333333295,9.717777777777759,0,0
2018-06-07,6.230666666666628,9.704055555555536,0,0
2018-06-08,6.217999999999961,9.690333333333314,0,0
2018-06-11,6.205333333333294,9.676611111111091,0,0
2018-06-12,6.192666666666627,9.662888888888869,0,0
2018-06-13,6.17999999999996,9.649166666666646,0,0
2018-06-14,6.167333333333293,9.635444444444424,0,0
2018-06-15,6.154666666666626,9.621722222222202,0,0
2018-06-18,6.141999999999959,9.60799999999998,0,0
2018-06-19,6.1293333333332916,9.594277777777757,0,0
2018-06-20,6.1166666666666245,9.580555555555534,0,0
