date,180_low,180_high,360_low,360_high
2018-01-02,0,0,195.66977978333333,197.71186513055557
2018-01-03,0,0,195.64955756666666,197.65372626111113
2018-01-04,191.77121528333333,218.65194147777777,195.62933535,197.5955873916667
2018-01-05,191.75243756666666,218.60388595555554,195.60911313333332,197.53744852222226
2018-01-08,191.73365984999998,218.5558304333333,195.58889091666666,197.47930965277783
2018-01-09,191.7148821333333,218.50777491111108,195.5686687,197.4211707833334
2018-01-10,191.69610441666663,218.45971938888886,195.54844648333332,197.36303191388896
2018-01-11,191.67732669999995,218.41166386666663,195.52822426666665,197.30489304444453
2018-01-12,191.65854898333328,218.3636083444444,195.50800205,197.2467541750001
2018-01-16,191.6397712666666,218.31555282222217,195.48777983333332,197.18861530555566
2018-01-17,191.62099354999992,218.26749729999995,195.46755761666665,197.13047643611122
2018-01-18,191.60221583333325,218.21944177777772,195.4473354,197.0723375666668
2018-01-19,191.58343811666657,218.1713862555555,195.42711318333332,197.01419869722235
2018-01-22,191.5646603999999,218.12333073333326,195.40689096666665,196.95605982777792
2018-01-23,191.54588268333322,218.07527521111103,195.38666874999998,196.8979209583335
2018-01-24,191.52710496666654,218.0272196888888,195.36644653333332,196.83978208888905
2018-01-25,191.50832724999987,217.97916416666658,195.34622431666665,196.78164321944462
2018-01-26,191.4895495333332,217.93110864444435,195.32600209999998,196.72350435000018
2018-01-29,191.4707718166665,217.88305312222212,195.30577988333332,196.66536548055575
2018-01-30,191.45199409999984,217.8349975999999,195.28555766666665,196.60722661111132
2018-01-31,191.43321638333316,217.78694207777767,195.26533544999998,196.54908774166688
2018-02-01,191.41443866666648,217.73888655555544,195.2451132333333,196.49094887222245
2018-02-02,191.3956609499998,217.6908310333332,195.22489101666665,196.432810002778
2018-02-05,191.37688323333313,217.64277551111098,195.20466879999998,196.37467113333358
2018-02-06,191.35810551666646,217.59471998888876,195.1844465833333,196.31653226388914
2018-02-07,191.33932779999978,217.54666446666653,195.16422436666664,196.2583933944447
2018-02-08,191.3205500833331,217.4986089444443,195.14400214999998,196.20025452500028
2018-02-09,191.30177236666643,217.45055342222207,195.1237799333333,196.14211565555584
2018-02-12,191.28299464999975,217.40249789999984,195.10355771666664,196.0839767861114
2018-02-13,191.26421693333307,217.35444237777762,195.08333549999998,196.02583791666697
2018-02-14,191.2454392166664,217.3063868555554,195.0631132833333,195.96769904722254
2018-02-15,191.22666149999972,217.25833133333316,195.04289106666664,195.9095601777781
2018-02-16,191.20788378333305,217.21027581111093,195.02266884999997,195.85142130833367
2018-02-20,191.18910606666637,217.1622202888887,195.0024466333333,195.79328243888924
2018-02-21,191.1703283499997,217.11416476666648,194.98222441666664,195.7351435694448
2018-02-22,191.15155063333302,217.06610924444425,194.96200219999997,195.67700470000037
2018-02-23,191.13277291666634,217.01805372222202,194.9417799833333,195.61886583055593
2018-02-26,191.11399519999966,216.9699981999998,194.92155776666664,195.5607269611115
2018-02-27,191.095217483333,216.92194267777757,194.90133554999997,195.50258809166706
2018-02-28,191.0764397666663,216.87388715555534,194.8811133333333,195.44444922222263
2018-03-01,191.05766204999964,216.8258316333331,194.86089111666664,195.3863103527782
2018-03-02,191.03888433333296,216.77777611111088,194.84066889999997,195.32817148333376
2018-03-05,191.02010661666628,216.72972058888865,194.8204466833333,195.27003261388933
2018-03-06,191.0013288999996,216.68166506666643,194.80022446666663,195.2118937444449
2018-03-07,190.98255118333293,216.6336095444442,194.78000224999997,195.15375487500046
2018-03-08,190.96377346666625,216.58555402222197,194.7597800333333,195.09561600555602
2018-03-09,190.94499574999958,216.53749849999974,194.73955781666663,195.0374771361116
2018-03-12,190.9262180333329,216.48944297777751,194.71933559999997,194.97933826666716
2018-03-13,190.90744031666623,216.4413874555553,194.6991133833333,194.92119939722272
2018-03-14,190.88866259999955,216.39333193333306,194.67889116666663,194.8630605277783
2018-03-15,190.86988488333287,216.34527641111083,194.65866894999996,194.80492165833385
2018-03-16,190.8511071666662,216.2972208888886,194.6384467333333,194.74678278888942
2018-03-19,190.83232944999952,216.24916536666638,194.61822451666663,194.68864391944498
2018-03-20,190.81355173333284,216.20110984444415,194.59800229999996,194.63050505000055
2018-03-21,190.79477401666617,216.15305432222192,194.5777800833333,194.57236618055612
2018-03-22,190.7759962999995,216.1049987999997,194.55755786666663,194.51422731111168
2018-03-23,190.75721858333281,216.05694327777746,194.53733564999996,194.45608844166725
2018-03-26,190.73844086666614,216.00888775555524,194.5171134333333,194.3979495722228
2018-03-27,190.71966314999946,215.960832233333,194.49689121666663,194.33981070277838
2018-03-28,190.7008854333328,215.91277671111078,194.47666899999996,194.28167183333395
2018-03-29,190.6821077166661,215.86472118888855,194.4564467833333,194.2235329638895
2018-04-02,190.66332999999943,215.81666566666632,194.43622456666662,194.16539409444508
2018-04-03,190.64455228333276,215.7686101444441,194.41600234999996,194.10725522500064
2018-04-04,190.62577456666608,215.72055462222187,194.3957801333333,194.0491163555562
2018-04-05,190.6069968499994,215.67249909999964,194.37555791666662,193.99097748611177
2018-04-06,190.58821913333273,215.6244435777774,194.35533569999996,193.93283861666734
2018-04-09,190.56944141666605,215.57638805555519,194.3351134833333,193.8746997472229
2018-04-10,190.55066369999938,215.52833253333296,194.31489126666662,193.81656087777847
2018-04-11,190.5318859833327,215.48027701111073,194.29466904999995,193.75842200833404
2018-04-12,190.51310826666602,215.4322214888885,194.2744468333333,193.7002831388896
2018-04-13,190.49433054999935,215.38416596666627,194.25422461666662,193.64214426944517
2018-04-16,190.47555283333267,215.33611044444405,194.23400239999995,193.58400540000073
2018-04-17,190.456775116666,215.28805492222182,194.21378018333328,193.5258665305563
2018-04-18,190.43799739999932,215.2399993999996,194.19355796666662,193.46772766111187
2018-04-19,190.41921968333264,215.19194387777736,194.17333574999995,193.40958879166743
2018-04-20,190.40044196666597,215.14388835555513,194.15311353333328,193.351449922223
2018-04-23,190.3816642499993,215.0958328333329,194.13289131666662,193.29331105277856
2018-04-24,190.3628865333326,215.04777731111068,194.11266909999995,193.23517218333413
2018-04-25,190.34410881666594,214.99972178888845,194.09244688333328,193.1770333138897
