date,180_low,180_high,360_low,360_high
2018-01-02,0,0,10709.78885658611,10847.506326141667
2018-01-03,0,0,10708.84724417222,10846.382769283335
2018-01-04,0,0,10707.90563175833,10845.259212425002
2018-01-05,10371.100944011112,11253.102794488888,10706.964019344441,10844.13565556667
2018-01-08,10370.451888022224,11253.095236977777,10706.022406930551,10843.012098708337
2018-01-09,10369.802832033336,11253.087679466666,10705.080794516662,10841.888541850005
2018-01-10,10369.153776044448,11253.080121955554,10704.139182102772,10840.764984991672
2018-01-11,10368.50472005556,11253.072564444443,10703.197569688882,10839.64142813334
2018-01-12,10367.855664066672,11253.065006933331,10702.255957274992,10838.517871275008
2018-01-15,10367.206608077784,11253.05744942222,10701.314344861103,10837.394314416675
2018-01-16,10366.557552088896,11253.049891911109,10700.372732447213,10836.270757558343
2018-01-17,10365.908496100008,11253.042334399997,10699.431120033323,10835.14720070001
2018-01-18,10365.25944011112,11253.034776888886,10698.489507619433,10834.023643841678
2018-01-19,10364.610384122232,11253.027219377775,10697.547895205544,10832.900086983345
2018-01-22,10363.961328133344,11253.019661866663,10696.606282791654,10831.776530125013
2018-01-23,10363.312272144456,11253.012104355552,10695.664670377764,10830.65297326668
2018-01-24,10362.663216155568,11253.00454684444,10694.723057963874,10829.529416408348
2018-01-25,10362.01416016668,11252.99698933333,10693.781445549985,10828.405859550016
2018-01-26,10361.365104177792,11252.989431822218,10692.839833136095,10827.282302691683
2018-01-29,10360.716048188904,11252.981874311106,10691.898220722205,10826.15874583335
2018-01-30,10360.066992200016,11252.974316799995,10690.956608308315,10825.035188975018
2018-01-31,10359.417936211128,11252.966759288884,10690.014995894426,10823.911632116686
2018-02-01,10358.76888022224,11252.959201777772,10689.073383480536,10822.788075258353
2018-02-02,10358.119824233352,11252.95164426666,10688.131771066646,10821.66451840002
2018-02-05,10357.470768244464,11252.94408675555,10687.190158652757,10820.540961541688
2018-02-06,10356.821712255576,11252.936529244438,10686.248546238867,10819.417404683356
2018-02-07,10356.172656266688,11252.928971733327,10685.306933824977,10818.293847825023
2018-02-08,10355.5236002778,11252.921414222215,10684.365321411087,10817.170290966691
2018-02-09,10354.874544288912,11252.913856711104,10683.423708997198,10816.046734108359
2018-02-12,10354.225488300024,11252.906299199993,10682.482096583308,10814.923177250026
2018-02-21,10353.576432311136,11252.898741688881,10681.540484169418,10813.799620391694
2018-02-22,10352.927376322248,11252.89118417777,10680.598871755528,10812.676063533361
2018-02-23,10352.27832033336,11252.883626666659,10679.657259341639,10811.552506675029
2018-02-26,10351.629264344472,11252.876069155547,10678.715646927749,10810.428949816696
2018-02-27,10350.980208355584,11252.868511644436,10677.774034513859,10809.305392958364
2018-03-01,10350.331152366696,11252.860954133324,10676.83242209997,10808.181836100031
2018-03-02,10349.682096377808,11252.853396622213,10675.89080968608,10807.058279241699
2018-03-05,10349.03304038892,11252.845839111102,10674.94919727219,10805.934722383367
2018-03-06,10348.383984400032,11252.83828159999,10674.0075848583,10804.811165525034
2018-03-07,10347.734928411144,11252.830724088879,10673.06597244441,10803.687608666702
2018-03-08,10347.085872422256,11252.823166577768,10672.12436003052,10802.56405180837
2018-03-09,10346.436816433368,11252.815609066656,10671.18274761663,10801.440494950037
2018-03-12,10345.78776044448,11252.808051555545,10670.241135202741,10800.316938091704
2018-03-13,10345.138704455592,11252.800494044433,10669.299522788851,10799.193381233372
2018-03-14,10344.489648466704,11252.792936533322,10668.357910374962,10798.06982437504
2018-03-15,10343.840592477816,11252.78537902221,10667.416297961072,10796.946267516707
2018-03-16,10343.191536488928,11252.7778215111,10666.474685547182,10795.822710658374
2018-03-19,10342.54248050004,11252.770263999988,10665.533073133292,10794.699153800042
2018-03-20,10341.893424511152,11252.762706488877,10664.591460719403,10793.57559694171
2018-03-21,10341.244368522264,11252.755148977765,10663.649848305513,10792.452040083377
